Names,Episode 1,Episode 2,Episode 3,Episode 4,Episode 5,Episode 6,Episode 7,Episode 8,Episode 9,Episode 10,Episode 11
Bae Eunyeong,22,13,,,,,,,,,
Baek Jiheon,9,6,,,,,,,,,
Cho Yubin,18,28,,,,,,,,,
Chu Wonhui,10,16,,,,,,,,,
Hong Siwoo,41,39,,,,,,,,,
Jang Gyuri,28,25,,,,,,,,,
Jenny,32,31,,,,,,,,,
Jeong Somi,31,37,,,,,,,,,
Jessica Lee,33,34,,,,,,,,,
Jo Selim,37,40,,,,,,,,,
Jo Youngju,36,29,,,,,,,,,
Jo Yuri,8,7,,,,,,,,,
Kim Eunkyul,6,15,,,,,,,,,
Kim Eunsuh,20,14,,,,,,,,,
Kim Myongji,21,20,,,,,,,,,
Kim Nayeon,40,36,,,,,,,,,
Lee Chaeyoung,3,3,,,,,,,,,
Lee Dahee,35,38,,,,,,,,,
Lee Haein,1,2,,,,,,,,,
Lee Nakyung,14,9,,,,,,,,,
Lee Saerom,13,8,,,,,,,,,
Lee Seoyeon,11,11,,,,,,,,,
Lee Sian,15,19,,,,,,,,,
Lee Yeongyoo,16,27,,,,,,,,,
Lee Yoojeong,25,26,,,,,,,,,
Michelle White,30,33,,,,,,,,,
Natty,2,5,,,,,,,,,
Park Jiwon,5,4,,,,,,,,,
Park Somyeong,27,18,,,,,,,,,
Park Sun,24,21,,,,,,,,,
Roh Jisun,23,22,,,,,,,,,
Seo Herin,4,10,,,,,,,,,
Shin Sia,19,23,,,,,,,,,
Sky,12,17,,,,,,,,,
Snowbaby,34,32,,,,,,,,,
Som Hyein,29,-,-,-,-,-,-,-,-,-,-
Song Hayoung,7,1,,,,,,,,,
Tasha,39,24,,,,,,,,,
Yang Yeongi,38,35,,,,,,,,,
Yoo Jina,17,12,,,,,,,,,
Yoon Jiwoo,26,30,,,,,,,,,
