Names,Notes,Color,Episode 1,Episode 2,Episode 3,Episode 4,Episode 5,Episode 6,Episode 7,Episode 8,Episode 9,Episode 10,Episode 11
Bae Eunyeong,,#00b16a,22,13,11,14,,,,,,,
Baek Jiheon,,#f64747,9,6,4,1,,,,,,,
Cho Yubin,,#e87e04,18,28,34,30,,,,,,,
Chu Wonhui,,#bf55ec,10,16,18,17,,,,,,,
Hong Siwoo,,#fde3a7,41,39,38,39,,,,,,,
Jang Gyuri,,#aea8d3,28,25,16,20,,,,,,,
Jenny,,#f08aec,32,31,31,31,,,,,,,
Jeong Somi,,#f5ab35,31,37,39,36,,,,,,,
Jessica Lee,,#03a678,33,34,30,35,,,,,,,
Jo Selim,,#eebb99,37,40,37,40,,,,,,,
Jo Youngju,,#f69b4c,36,29,26,18,,,,,,,
Jo Yuri,,#dcc6e0,8,7,12,11,,,,,,,
Kim Eunkyul,,#cf000f,6,15,25,27,,,,,,,
Kim Eunsuh,,#03c9a9,20,14,14,12,,,,,,,
Kim Myongji,,#be90d4,21,20,21,19,,,,,,,
Kim Nayeon,,#26a65b,40,36,32,28,,,,,,,
Lee Chaeyoung,,#9a12b3,3,3,3,5,,,,,,,
Lee Dahee,,#1e824c,35,38,40,29,,,,,,,
Lee Haein,,#fdcb2a,1,2,2,2,,,,,,,
Lee Nakyung,,#6d4794,14,9,7,8,,,,,,,
Lee Saerom,,#845a90,13,8,8,9,,,,,,,
Lee Seoyeon,,#67809f,11,11,10,3,,,,,,,
Lee Sian,,#5c97bf,15,19,17,21,,,,,,,
Lee Yeongyoo,,#f5d76e,16,27,29,32,,,,,,,
Lee Yoojeong,,#4ecdc4,25,26,22,25,,,,,,,
Michelle White,,#90c695,30,33,36,34,,,,,,,
Natty,,#ff8f04,2,5,6,10,,,,,,,
Park Jiwon,,#d24d57,5,4,5,6,,,,,,,
Park Somyeong,,#81cfe0,27,18,15,16,,,,,,,
Park Sun,,#ec644b,24,21,24,22,,,,,,,
Roh Jisun,,#4183d7,23,22,20,13,,,,,,,
Seo Herin,,#c8f7c5,4,10,13,15,,,,,,,
Shin Sia,,#049372,19,23,27,23,,,,,,,
Sky,,#1ba39c,12,17,19,24,,,,,,,
Snowbaby,,#22a7f0,34,32,28,33,,,,,,,
Som Hyein,Left due health reasons,#c5eff7,29,-,-,-,-,-,-,-,-,-,-
Song Hayoung,,#d2527f,7,1,1,4,,,,,,,
Tasha,,#87d37c,39,24,23,26,,,,,,,
Yang Yeongi,,#336e7b,38,35,35,38,,,,,,,
Yoo Jina,,#e26a6a,17,12,9,7,,,,,,,
Yoon Jiwoo,,#6bb9f0,26,30,33,37,,,,,,,
