Names,Notes,Color,Episode 0,,,,,
Baek Jin (Start),B Class,#0066ff,36,,,,,
Chae Changhyun (Banana Culture),A Class,#000000,13,,,,,
Choi Hyunseok (YG),Debut Lineup,#ff0000,4,,,,,
Choi Jongho (KQ),A Class,#000000,27,,,,,
Han Jongyeon (Maroo),A Class,#000000,17,,,,,
Hiyama Kazuhiro (Major 9),A Class,#000000,25,,,,,
Hwang Yunsung (Hunus),B Class,#0066ff,37,,,,,
Jeong Inseong (YNB),A Class,#000000,12,,,,,
Jin Sungho (Liveworks),C Class,#339933,58,,,,,
Jo Hanguk (NH Media),C Class,#339933,65,,,,,
Jo Yonggeun (Happy Face),C Class,#339933,60,,,,,
Jo Youngho (Maroo),Debut Lineup,#ff0000,9,,,,,
Jung Hyunwoo (FM),A Class,#000000,20,,,,,
Jung Seungbo (Jungle),C Class,#339933,62,,,,,
Jung Sungcheol (Urban Music),C Class,#339933,70,,,,,
Jung Wooyoung (KQ),C Class,#339933,57,,,,,
Kim Byeongkwan (Beat Interactive),Debut Lineup,#ff0000,3,,,,,
Kim Donghyun (NH Media),A Class,#000000,10,,,,,
Kim Dongyoon (WYNN),B Class,#0066ff,39,,,,,
Kim Gukhyeon (Music Works),Debut Lineup,#ff0000,2,,,,,
Kim Hangyeol (IME Korea),B Class,#0066ff,34,,,,,
Kim Hongjoong (KQ),Debut Lineup,#ff0000,7,,,,,
Kim Hyojin (WM),Debut Lineup,#ff0000,1,,,,,
Kim Hyunjong (Hunus),A Class,#000000,22,,,,,
Kim Hyunsu (Happy Face),B Class,#0066ff,31,,,,,
Kim Jaeoh (Chrome),C Class,#339933,71,,,,,
Kim Jinhong (Choeun),B Class,#0066ff,33,,,,,
Kim Junhoe (Jungle),C Class,#339933,61,,,,,
Kim Junkyu (YG),B Class,#0066ff,45,,,,,
Kim Minhak (Hunus),Debut Lineup,#ff0000,6,,,,,
Kim Minseok (WM),A Class,#000000,16,,,,,
Kim Sang Jin (Music Works),A Class,#000000,18,,,,,
Kim Sangwon (Staro),B Class,#0066ff,48,,,,,
Kim Sangyeon (FM),C Class,#339933,64,,,,,
Kim Sehyoon (Beat Interactive),C Class,#339933,54,,,,,
Kim Seungmin (Mystic),C Class,#339933,67,,,,,
Kim Sungyeon (IME Korea),C Class,#339933,59,,,,,
Kim Yongjo (RBW),C Class,#339933,52,,,,,
Kim Youngjin (Jackie Chan Group Korea),C Class,#339933,56,,,,,
Lee Byunggon (YG),A Class,#000000,21,,,,,
Lee Chandong (RBW),A Class,#000000,15,,,,,
Lee Changsun (Choeun),A Class,#000000,24,,,,,
Lee Changyoon (WM),A Class,#000000,14,,,,,
Lee Donghun (Beat Interactive),Debut Lineup,#ff0000,8,,,,,
Lee Gunmin (RBW),B Class,#0066ff,38,,,,,
Lee Habit (NH Media),A Class,#000000,26,,,,,
Lee Jaejun (Banana Culture),B Class,#0066ff,47,,,,,
Lee Jaejun (RBW),C Class,#339933,66,,,,,
Lee Rubin (Liveworks),A Class,#000000,28,,,,,
Lee Seungjun (WM),C Class,#339933,53,,,,,
Lim Youngjun (Eleven9),B Class,#0066ff,43,,,,,
Ma Jaekyung (Hunus),B Class,#0066ff,41,,,,,
Manny (Jungle),B Class,#0066ff,40,,,,,
Mizuguchi Yuto (WM),A Class,#000000,11,,,,,
Moon Jaeyoon (Liveworks),A Class,#000000,30,,,,,
Moon Youngseo (Luce),C Class,#339933,55,,,,,
Oh Heejun (YNB),B Class,#0066ff,46,,,,,
Park Hyungyu (RBW),B Class,#0066ff,50,,,,,
Park Minkyun (WM),A Class,#000000,29,,,,,
Park Seungjun (YNB),C Class,#339933,68,,,,,
Park Sunghyun (Chrome),C Class,#339933,72,,,,,
Shim Jaeyoung (WM),B Class,#0066ff,35,,,,,
Shin Jungmin (FM),C Class,#339933,69,,,,,
Shin Junseop (Music Works),B Class,#0066ff,49,,,,,
Son Junhyung (Maroo),A Class,#000000,19,,,,,
Song Hangyeom (Staro),Debut Lineup,#ff0000,5,,,,,
Song Minki (KQ),A Class,#000000,23,,,,,
Woo Jinyoung (Happy Face),B Class,#0066ff,32,,,,,
Woo Taewoon (Million Market),B Class,#0066ff,42,,,,,
Yeo Mingming (ByKing),B Class,#0066ff,51,,,,,
Yoon Jaehee (Happy Face),B Class,#0066ff,44,,,,,
Yoon Yongbin (Banana Culture),C Class,#339933,63,,,,,
