Names,Notes,Color,Ranking 0,Ranking 1,Ranking 2,Ranking 3,Ranking 4,
Baek Jin (Start),28-52,#0066ff,36,52,48,40,38,
Chae Changhyun (Banana Culture),28-52,#0066ff,13,34,36,37,35,
Choi Hyunseok (YG),10-27,#000000,4,17,12,8,12,
Choi Jongho (KQ),28-52,#0066ff,27,57,61,50,46,
Han Jongyeon (Maroo),Eliminated,#339933,17,53,54,60,,
Hiyama Kazuhiro (Major 9),28-52,#0066ff,25,47,44,41,52,
Hwang Yunsung (Hunus),28-52,#0066ff,37,41,41,47,48,
Jeong Inseong (YNB),10-27,#000000,12,23,28,27,26,
Jin Sungho (Liveworks),10-27,#000000,58,32,32,29,21,
Jo Hanguk (NH Media),Eliminated,#339933,65,64,63,67,,
Jo Yonggeun (Happy Face),10-27,#000000,60,10,15,17,19,
Jo Youngho (Maroo),28-52,#0066ff,9,46,39,42,49,
Jung Hyunwoo (FM),28-52,#0066ff,20,29,30,35,31,
Jung Seungbo (Jungle),Eliminated,#339933,62,72,70,71,,
Jung Sungcheol (Urban Music),Eliminated,#339933,70,71,69,70,,
Jung Wooyoung (KQ),Eliminated,#339933,57,63,71,72,,
Kim Byeongkwan (Beat Interactive),Debut Lineup,#ff0000,3,6,3,3,3,
Kim Donghyun (NH Media),Eliminated,#339933,10,48,50,56,,
Kim Dongyoon (WYNN),10-27,#000000,39,31,31,30,24,
Kim Gukhyeon (Music Works),28-52,#0066ff,2,42,38,36,36,
Kim Hangyeol (IME Korea),Eliminated,#339933,34,58,62,69,,
Kim Hongjoong (KQ),28-52,#0066ff,7,59,55,49,44,
Kim Hyojin (WM),Debut Lineup,#ff0000,1,2,2,2,2,
Kim Hyunjong (Hunus),28-52,#0066ff,22,43,49,48,47,
Kim Hyunsu (Happy Face),Debut Lineup,#ff0000,31,19,23,23,5,
Kim Jaeoh (Chrome),Eliminated,#339933,71,68,67,61,,
Kim Jinhong (Choeun),Pulled,#339933,33,39,43,39,,
Kim Junhoe (Jungle),28-52,#0066ff,61,62,66,52,51,
Kim Junkyu (YG),28-52,#0066ff,45,37,33,31,34,
Kim Minhak (Hunus),28-52,#0066ff,6,36,37,38,40,
Kim Minseok (WM),Debut Lineup,#ff0000,16,5,6,5,4,
Kim Sang Jin (Music Works),Eliminated,#339933,18,54,56,54,,
Kim Sangwon (Staro),28-52,#0066ff,48,25,22,21,30,
Kim Sangyeon (FM),Eliminated,#339933,64,44,42,58,,
Kim Sehyoon (Beat Interactive),10-27,#000000,54,27,25,20,11,
Kim Seungmin (Mystic),Eliminated,#339933,67,61,59,55,,
Kim Sungyeon (IME Korea),Eliminated,#339933,59,70,64,66,,
Kim Yongjo (RBW),28-52,#0066ff,52,21,24,26,29,
Kim Youngjin (Jackie Chan Group Korea),Eliminated,#339933,56,60,60,65,,
Lee Byunggon (YG),10-27,#000000,21,28,27,25,23,
Lee Chandong (RBW),28-52,#0066ff,15,33,35,34,41,
Lee Changsun (Choeun),Eliminated,#339933,24,56,57,59,,
Lee Changyoon (WM),10-27,#000000,14,11,13,12,17,
Lee Donghun (Beat Interactive),Debut Lineup,#ff0000,8,18,17,15,6,
Lee Gunmin (RBW),Debut Lineup,#ff0000,38,3,5,6,8,
Lee Habit (NH Media),10-27,#000000,26,55,53,43,27,
Lee Jaejun (Banana Culture),28-52,#0066ff,47,30,46,53,28,
Lee Jaejun (RBW),28-52,#0066ff,66,35,19,18,33,
Lee Rubin (Liveworks),Debut Lineup,#ff0000,28,14,16,16,9,
Lee Seungjun (WM),Debut Lineup,#ff0000,53,4,4,4,7,
Lim Youngjun (Eleven9),28-52,#0066ff,43,49,51,45,45,
Ma Jaekyung (Hunus),28-52,#0066ff,41,45,47,51,43,
Manny (Jungle),Eliminated,#339933,40,65,58,64,,
Mizuguchi Yuto (WM),10-27,#000000,11,9,9,11,14,
Moon Jaeyoon (Liveworks),28-52,#0066ff,30,40,40,46,39,
Moon Youngseo (Luce),Eliminated,#339933,55,66,65,62,,
Oh Heejun (YNB),28-52,#0066ff,46,24,29,32,37,
Park Hyungyu (RBW),28-52,#0066ff,50,38,34,33,32,
Park Minkyun (WM),10-27,#000000,29,8,10,14,15,
Park Seungjun (YNB),10-27,#000000,68,15,18,19,22,
Park Sunghyun (Chrome),28-52,#0066ff,72,51,45,44,50,
Shim Jaeyoung (WM),10-27,#000000,35,7,8,10,16,
Shin Jungmin (FM),Eliminated,#339933,69,50,52,57,,
Shin Junseop (Music Works),10-27,#000000,49,26,20,22,25,
Son Junhyung (Maroo),Eliminated,#339933,19,69,68,68,,
Song Hangyeom (Staro),Debut Lineup,#ff0000,5,16,14,9,10,
Song Minki (KQ),Eliminated,#339933,23,67,72,63,,
Woo Jinyoung (Happy Face),Debut Lineup,#ff0000,32,1,1,1,1,
Woo Taewoon (Million Market),10-27,#000000,42,13,7,7,13,
Yeo Mingming (ByKing),10-27,#000000,51,12,11,13,18,
Yoon Jaehee (Happy Face),10-27,#000000,44,20,21,24,20,
Yoon Yongbin (Banana Culture),28-52,#0066ff,63,22,26,28,42,
