Names,Notes,Color,Ranking 0,Ranking 1,Ranking 2,Ranking 3,Ranking 4,Ranking 5
Woo Jinyoung (Happy Face),Debut Lineup,#ff0000,32,1,1,1,1,1
Kim Byeongkwan (Beat Interactive),Debut Lineup,#ff0000,3,6,3,3,3,2
Kim Hyojin (WM),Debut Lineup,#ff0000,1,2,2,2,2,3
Kim Minseok (WM),Debut Lineup,#ff0000,16,5,6,5,4,4
Lee Donghun (Beat Interactive),Debut Lineup,#ff0000,8,18,17,15,6,5
Lee Seungjun (WM),Debut Lineup,#ff0000,53,4,4,4,7,6
Song Hangyeom (Staro),Debut Lineup,#ff0000,5,16,14,9,10,7
Kim Hyunsu (Happy Face),Debut Lineup,#ff0000,31,19,23,23,5,8
Choi Hyunseok (YG),Debut Lineup,#ff0000,4,17,12,8,12,9
Kim Sehyoon (Beat Interactive),10-27,#000000,54,27,25,20,11,10
Woo Taewoon (Million Market),10-27,#000000,42,13,7,7,13,11
Lee Rubin (Liveworks),10-27,#000000,28,14,16,16,9,12
Yeo Mingming (ByKing),10-27,#000000,51,12,11,13,18,13
Lee Gunmin (RBW),10-27,#000000,38,3,5,6,8,14
Jo Yonggeun (Happy Face),10-27,#000000,60,10,15,17,19,15
Mizuguchi Yuto (WM),10-27,#000000,11,9,9,11,14,16
Shim Jaeyoung (WM),10-27,#000000,35,7,8,10,16,17
Jin Sungho (Liveworks),10-27,#000000,58,32,32,29,21,18
Park Minkyun (WM),10-27,#000000,29,8,10,14,15,19
Jeong Inseong (YNB),10-27,#000000,12,23,28,27,26,20
Kim Yongjo (RBW),10-27,#000000,52,21,24,26,29,21
Lee Byunggon (YG),10-27,#000000,21,28,27,25,23,22
Oh Heejun (YNB),10-27,#000000,46,24,29,32,37,23
Kim Dongyoon (WYNN),10-27,#000000,39,31,31,30,24,24
Kim Gukhyeon (Music Works),10-27,#000000,2,42,38,36,36,25
Lee Jaejun (Banana Culture),10-27,#000000,47,30,46,53,28,26
Kim Hyunjong (Hunus),10-27,#000000,22,43,49,48,47,27
Lee Chandong (RBW),Eliminated,#339933,15,33,35,34,41,28
Lee Changyoon (WM),Eliminated,#339933,14,11,13,12,17,29
Yoon Jaehee (Happy Face),Eliminated,#339933,44,20,21,24,20,30
Kim Sangwon (Staro),Eliminated,#339933,48,25,22,21,30,31
Park Seungjun (YNB),Eliminated,#339933,68,15,18,19,22,32
Jung Hyunwoo (FM),Eliminated,#339933,20,29,30,35,31,33
Chae Changhyun (Banana Culture),Eliminated,#339933,13,34,36,37,35,34
Kim Junkyu (YG),Eliminated,#339933,45,37,33,31,34,35
Shin Junseop (Music Works),Eliminated,#339933,49,26,20,22,25,36
Park Hyungyu (RBW),Eliminated,#339933,50,38,34,33,32,37
Baek Jin (Start),Eliminated,#339933,36,52,48,40,38,38
Lee Habit (NH Media),Eliminated,#339933,26,55,53,43,27,39
Lim Youngjun (Eleven9),Eliminated,#339933,43,49,51,45,45,40
Kim Minhak (Hunus),Eliminated,#339933,6,36,37,38,40,41
Kim Hongjoong (KQ),Eliminated,#339933,7,59,55,49,44,42
Choi Jongho (KQ),Eliminated,#339933,27,57,61,50,46,43
Ma Jaekyung (Hunus),Eliminated,#339933,41,45,47,51,43,44
Park Sunghyun (Chrome),Eliminated,#339933,72,51,45,44,50,45
Lee Jaejun (RBW),Eliminated,#339933,66,35,19,18,33,46
Hiyama Kazuhiro (Major 9),Eliminated,#339933,25,47,44,41,52,47
Kim Junhoe (Jungle),Eliminated,#339933,61,62,66,52,51,48
Hwang Yunsung (Hunus),Eliminated,#339933,37,41,41,47,48,49
Moon Jaeyoon (Liveworks),Eliminated,#339933,30,40,40,46,39,50
Yoon Yongbin (Banana Culture),Eliminated,#339933,63,22,26,28,42,51
Jo Youngho (Maroo),Eliminated,#339933,9,46,39,42,49,52
Han Jongyeon (Maroo),Eliminated,#339933,17,53,54,60,,
Jo Hanguk (NH Media),Eliminated,#339933,65,64,63,67,,
Jung Seungbo (Jungle),Eliminated,#339933,62,72,70,71,,
Jung Sungcheol (Urban Music),Eliminated,#339933,70,71,69,70,,
Jung Wooyoung (KQ),Eliminated,#339933,57,63,71,72,,
Kim Donghyun (NH Media),Eliminated,#339933,10,48,50,56,,
Kim Hangyeol (IME Korea),Eliminated,#339933,34,58,62,69,,
Kim Jaeoh (Chrome),Eliminated,#339933,71,68,67,61,,
Kim Jinhong (Choeun),Pulled,#339933,33,39,43,39,,
Kim Sang Jin (Music Works),Eliminated,#339933,18,54,56,54,,
Kim Sangyeon (FM),Eliminated,#339933,64,44,42,58,,
Kim Seungmin (Mystic),Eliminated,#339933,67,61,59,55,,
Kim Sungyeon (IME Korea),Eliminated,#339933,59,70,64,66,,
