Names,Notes,Color,Episode 0,Episode 5,,,,
Chae Changhyun (Banana Culture),<49,#000000,36,50,,,,
Han Jongyeon (Maroo),<49,#000000,13,50,,,,
Hiyama Kazuhiro (Major 9),<49,#000000,4,50,,,,
Jeong Inseong (YNB),<49,#000000,27,50,,,,
Jung Hyunwoo (FM),<49,#000000,17,50,,,,
Jung Seungbo (Jungle),<49,#000000,25,50,,,,
Jung Sungcheol (Urban Music),<49,#000000,37,50,,,,
Jung Wooyoung (KQ),<49,#000000,12,50,,,,
Kim Hyunsu (Happy Face),<49,#000000,58,50,,,,
Kim Jaeoh (Chrome),<49,#000000,65,50,,,,
Kim Sangyeon (FM),<49,#000000,60,50,,,,
Kim Sehyoon (Beat Interactive),<49,#000000,9,50,,,,
Kim Seungmin (Mystic),<49,#000000,20,50,,,,
Kim Youngjin (Jackie Chan Group Korea),<49,#000000,62,50,,,,
Lee Changsun (Choeun),<49,#000000,70,50,,,,
Lee Changyoon (WM),<49,#000000,57,50,,,,
Lee Habit (NH Media),<49,#000000,3,50,,,,
Manny (Jungle),<49,#000000,10,50,,,,
Moon Youngseo (Luce),<49,#000000,39,50,,,,
Oh Heejun (YNB),<49,#000000,2,50,,,,
Park Seungjun (YNB),<49,#000000,34,50,,,,
Son Junhyung (Maroo),<49,#000000,7,50,,,,
Song Minki (KQ),<49,#000000,1,50,,,,
Baek Jin (Start),Top 49,#ff0000,22,40,,,,
Choi Hyunseok (YG),Top 9,#ff0000,31,4,,,,
Choi Jongho (KQ),Top 49,#ff0000,71,33,,,,
Hwang Yunsung (Hunus),Top 49,#ff0000,33,23,,,,
Jin Sungho (Liveworks),Top 49,#ff0000,61,16,,,,
Jo Hanguk (NH Media),Top 49,#ff0000,45,43,,,,
Jo Yonggeun (Happy Face),Top 49,#ff0000,6,24,,,,
Jo Youngho (Maroo),Top 9,#ff0000,16,3,,,,
Kim Byeongkwan (Beat Interactive),Top 49,#ff0000,18,12,,,,
Kim Donghyun (NH Media),Top 49,#ff0000,48,46,,,,
Kim Dongyoon (WYNN),Top 49,#ff0000,64,31,,,,
Kim Gukhyeon (Music Works),Top 9,#ff0000,54,8,,,,
Kim Hangyeol (IME Korea),Top 49,#ff0000,67,26,,,,
Kim Hongjoong (KQ),Top 49,#ff0000,59,13,,,,
Kim Hyojin (WM),Top 9,#ff0000,52,2,,,,
Kim Hyunjong (Hunus),Top 49,#ff0000,56,25,,,,
Kim Jinhong (Choeun),Top 49,#ff0000,21,45,,,,
Kim Junhoe (Jungle),Top 49,#ff0000,15,36,,,,
Kim Junkyu (YG),Top 49,#ff0000,24,39,,,,
Kim Minhak (Hunus),Top 49,#ff0000,14,28,,,,
Kim Minseok (WM),Top 49,#ff0000,8,37,,,,
Kim Sang Jin (Music Works),Top 49,#ff0000,38,30,,,,
Kim Sangwon (Staro),Top 9,#ff0000,26,6,,,,
Kim Sungyeon (IME Korea),Top 49,#ff0000,47,48,,,,
Kim Yongjo (RBW),Top 49,#ff0000,66,41,,,,
Lee Byunggon (YG),Top 49,#ff0000,28,38,,,,
Lee Chandong (RBW),Top 49,#ff0000,53,32,,,,
Lee Donghun (Beat Interactive),Top 49,#ff0000,43,49,,,,
Lee Gunmin (RBW),Top 49,#ff0000,41,18,,,,
Lee Jaejun (Banana Culture),Top 49,#ff0000,40,20,,,,
Lee Jaejun (RBW),Top 9,#ff0000,11,7,,,,
Lee Rubin (Liveworks),Top 9,#ff0000,30,1,,,,
Lee Seungjun (WM),Top 49,#ff0000,55,27,,,,
Lim Youngjun (Eleven9),Top 49,#ff0000,46,29,,,,
Ma Jaekyung (Hunus),Top 49,#ff0000,50,21,,,,
Mizuguchi Yuto (WM),Top 9,#ff0000,29,9,,,,
Moon Jaeyoon (Liveworks),Top 49,#ff0000,68,17,,,,
Park Hyungyu (RBW),Top 49,#ff0000,72,22,,,,
Park Minkyun (WM),Top 49,#ff0000,35,35,,,,
Park Sunghyun (Chrome),Top 49,#ff0000,69,10,,,,
Shim Jaeyoung (WM),Top 49,#ff0000,49,34,,,,
Shin Jungmin (FM),Top 49,#ff0000,19,44,,,,
Shin Junseop (Music Works),Top 49,#ff0000,5,14,,,,
Song Hangyeom (Staro),Top 49,#ff0000,23,11,,,,
Woo Jinyoung (Happy Face),Top 9,#ff0000,32,5,,,,
Woo Taewoon (Million Market),Top 49,#ff0000,42,19,,,,
Yeo Mingming (ByKing),Top 49,#ff0000,51,15,,,,
Yoon Jaehee (Happy Face),Top 49,#ff0000,44,47,,,,
Yoon Yongbin (Banana Culture),Top 49,#ff0000,63,42,,,,
