Names,Notes,Color,Ranking 0,Ranking 1,,,,
Baek Jin (Start),40-72,#0066ff,36,48,,,,
Chae Changhyun (Banana Culture),10-39,#000000,13,36,,,,
Choi Hyunseok (YG),10-39,#000000,4,12,,,,
Choi Jongho (KQ),40-72,#0066ff,27,61,,,,
Han Jongyeon (Maroo),40-72,#0066ff,17,54,,,,
Hiyama Kazuhiro (Major 9),40-72,#0066ff,25,44,,,,
Hwang Yunsung (Hunus),40-72,#0066ff,37,41,,,,
Jeong Inseong (YNB),10-39,#000000,12,28,,,,
Jin Sungho (Liveworks),10-39,#000000,58,32,,,,
Jo Hanguk (NH Media),40-72,#0066ff,65,63,,,,
Jo Yonggeun (Happy Face),10-39,#000000,60,15,,,,
Jo Youngho (Maroo),40-72,#0066ff,9,39,,,,
Jung Hyunwoo (FM),10-39,#000000,20,30,,,,
Jung Seungbo (Jungle),40-72,#0066ff,62,70,,,,
Jung Sungcheol (Urban Music),40-72,#0066ff,70,69,,,,
Jung Wooyoung (KQ),40-72,#0066ff,57,71,,,,
Kim Byeongkwan (Beat Interactive),Debut Lineup,#ff0000,3,3,,,,
Kim Donghyun (NH Media),40-72,#0066ff,10,50,,,,
Kim Dongyoon (WYNN),10-39,#000000,39,31,,,,
Kim Gukhyeon (Music Works),10-39,#000000,2,38,,,,
Kim Hangyeol (IME Korea),40-72,#0066ff,34,62,,,,
Kim Hongjoong (KQ),40-72,#0066ff,7,55,,,,
Kim Hyojin (WM),Debut Lineup,#ff0000,1,2,,,,
Kim Hyunjong (Hunus),40-72,#0066ff,22,49,,,,
Kim Hyunsu (Happy Face),10-39,#000000,31,23,,,,
Kim Jaeoh (Chrome),40-72,#0066ff,71,67,,,,
Kim Jinhong (Choeun),40-72,#0066ff,33,43,,,,
Kim Junhoe (Jungle),40-72,#0066ff,61,66,,,,
Kim Junkyu (YG),10-39,#000000,45,33,,,,
Kim Minhak (Hunus),10-39,#000000,6,37,,,,
Kim Minseok (WM),Debut Lineup,#ff0000,16,6,,,,
Kim Sang Jin (Music Works),40-72,#0066ff,18,56,,,,
Kim Sangwon (Staro),10-39,#000000,48,22,,,,
Kim Sangyeon (FM),40-72,#0066ff,64,42,,,,
Kim Sehyoon (Beat Interactive),10-39,#000000,54,25,,,,
Kim Seungmin (Mystic),40-72,#0066ff,67,59,,,,
Kim Sungyeon (IME Korea),40-72,#0066ff,59,64,,,,
Kim Yongjo (RBW),10-39,#000000,52,24,,,,
Kim Youngjin (Jackie Chan Group Korea),40-72,#0066ff,56,60,,,,
Lee Byunggon (YG),10-39,#000000,21,27,,,,
Lee Chandong (RBW),10-39,#000000,15,35,,,,
Lee Changsun (Choeun),40-72,#0066ff,24,57,,,,
Lee Changyoon (WM),10-39,#000000,14,13,,,,
Lee Donghun (Beat Interactive),10-39,#000000,8,17,,,,
Lee Gunmin (RBW),Debut Lineup,#ff0000,38,5,,,,
Lee Habit (NH Media),40-72,#0066ff,26,53,,,,
Lee Jaejun (Banana Culture),40-72,#0066ff,47,46,,,,
Lee Jaejun (RBW),10-39,#000000,66,19,,,,
Lee Rubin (Liveworks),10-39,#000000,28,16,,,,
Lee Seungjun (WM),Debut Lineup,#ff0000,53,4,,,,
Lim Youngjun (Eleven9),40-72,#0066ff,43,51,,,,
Ma Jaekyung (Hunus),40-72,#0066ff,41,47,,,,
Manny (Jungle),40-72,#0066ff,40,58,,,,
Mizuguchi Yuto (WM),Debut Lineup,#ff0000,11,9,,,,
Moon Jaeyoon (Liveworks),40-72,#0066ff,30,40,,,,
Moon Youngseo (Luce),40-72,#0066ff,55,65,,,,
Oh Heejun (YNB),10-39,#000000,46,29,,,,
Park Hyungyu (RBW),10-39,#000000,50,34,,,,
Park Minkyun (WM),10-39,#000000,29,10,,,,
Park Seungjun (YNB),10-39,#000000,68,18,,,,
Park Sunghyun (Chrome),40-72,#0066ff,72,45,,,,
Shim Jaeyoung (WM),Debut Lineup,#ff0000,35,8,,,,
Shin Jungmin (FM),40-72,#0066ff,69,52,,,,
Shin Junseop (Music Works),10-39,#000000,49,20,,,,
Son Junhyung (Maroo),40-72,#0066ff,19,68,,,,
Song Hangyeom (Staro),10-39,#000000,5,14,,,,
Song Minki (KQ),40-72,#0066ff,23,72,,,,
Woo Jinyoung (Happy Face),Debut Lineup,#ff0000,32,1,,,,
Woo Taewoon (Million Market),Debut Lineup,#ff0000,42,7,,,,
Yeo Mingming (ByKing),10-39,#000000,51,11,,,,
Yoon Jaehee (Happy Face),10-39,#000000,44,21,,,,
Yoon Yongbin (Banana Culture),10-39,#000000,63,26,,,,
