Names,Notes,Color,Ranking 0,Ranking 1,Ranking 2,,,
Baek Jin (Start),40-72,#0066ff,36,52,48,,,
Chae Changhyun (Banana Culture),10-39,#000000,13,34,36,,,
Choi Hyunseok (YG),10-39,#000000,4,17,12,,,
Choi Jongho (KQ),40-72,#0066ff,27,57,61,,,
Han Jongyeon (Maroo),40-72,#0066ff,17,53,54,,,
Hiyama Kazuhiro (Major 9),40-72,#0066ff,25,47,44,,,
Hwang Yunsung (Hunus),40-72,#0066ff,37,41,41,,,
Jeong Inseong (YNB),10-39,#000000,12,23,28,,,
Jin Sungho (Liveworks),10-39,#000000,58,32,32,,,
Jo Hanguk (NH Media),40-72,#0066ff,65,64,63,,,
Jo Yonggeun (Happy Face),10-39,#000000,60,10,15,,,
Jo Youngho (Maroo),40-72,#0066ff,9,46,39,,,
Jung Hyunwoo (FM),10-39,#000000,20,29,30,,,
Jung Seungbo (Jungle),40-72,#0066ff,62,72,70,,,
Jung Sungcheol (Urban Music),40-72,#0066ff,70,71,69,,,
Jung Wooyoung (KQ),40-72,#0066ff,57,63,71,,,
Kim Byeongkwan (Beat Interactive),Debut Lineup,#ff0000,3,6,3,,,
Kim Donghyun (NH Media),40-72,#0066ff,10,48,50,,,
Kim Dongyoon (WYNN),10-39,#000000,39,31,31,,,
Kim Gukhyeon (Music Works),10-39,#000000,2,42,38,,,
Kim Hangyeol (IME Korea),40-72,#0066ff,34,58,62,,,
Kim Hongjoong (KQ),40-72,#0066ff,7,59,55,,,
Kim Hyojin (WM),Debut Lineup,#ff0000,1,2,2,,,
Kim Hyunjong (Hunus),40-72,#0066ff,22,43,49,,,
Kim Hyunsu (Happy Face),10-39,#000000,31,19,23,,,
Kim Jaeoh (Chrome),40-72,#0066ff,71,68,67,,,
Kim Jinhong (Choeun),40-72,#0066ff,33,39,43,,,
Kim Junhoe (Jungle),40-72,#0066ff,61,62,66,,,
Kim Junkyu (YG),10-39,#000000,45,37,33,,,
Kim Minhak (Hunus),10-39,#000000,6,36,37,,,
Kim Minseok (WM),Debut Lineup,#ff0000,16,5,6,,,
Kim Sang Jin (Music Works),40-72,#0066ff,18,54,56,,,
Kim Sangwon (Staro),10-39,#000000,48,25,22,,,
Kim Sangyeon (FM),40-72,#0066ff,64,44,42,,,
Kim Sehyoon (Beat Interactive),10-39,#000000,54,27,25,,,
Kim Seungmin (Mystic),40-72,#0066ff,67,61,59,,,
Kim Sungyeon (IME Korea),40-72,#0066ff,59,70,64,,,
Kim Yongjo (RBW),10-39,#000000,52,21,24,,,
Kim Youngjin (Jackie Chan Group Korea),40-72,#0066ff,56,60,60,,,
Lee Byunggon (YG),10-39,#000000,21,28,27,,,
Lee Chandong (RBW),10-39,#000000,15,33,35,,,
Lee Changsun (Choeun),40-72,#0066ff,24,56,57,,,
Lee Changyoon (WM),10-39,#000000,14,11,13,,,
Lee Donghun (Beat Interactive),10-39,#000000,8,18,17,,,
Lee Gunmin (RBW),Debut Lineup,#ff0000,38,3,5,,,
Lee Habit (NH Media),40-72,#0066ff,26,55,53,,,
Lee Jaejun (Banana Culture),40-72,#0066ff,47,30,46,,,
Lee Jaejun (RBW),10-39,#000000,66,35,19,,,
Lee Rubin (Liveworks),10-39,#000000,28,14,16,,,
Lee Seungjun (WM),Debut Lineup,#ff0000,53,4,4,,,
Lim Youngjun (Eleven9),40-72,#0066ff,43,49,51,,,
Ma Jaekyung (Hunus),40-72,#0066ff,41,45,47,,,
Manny (Jungle),40-72,#0066ff,40,65,58,,,
Mizuguchi Yuto (WM),Debut Lineup,#ff0000,11,9,9,,,
Moon Jaeyoon (Liveworks),40-72,#0066ff,30,40,40,,,
Moon Youngseo (Luce),40-72,#0066ff,55,66,65,,,
Oh Heejun (YNB),10-39,#000000,46,24,29,,,
Park Hyungyu (RBW),10-39,#000000,50,38,34,,,
Park Minkyun (WM),10-39,#000000,29,8,10,,,
Park Seungjun (YNB),10-39,#000000,68,15,18,,,
Park Sunghyun (Chrome),40-72,#0066ff,72,51,45,,,
Shim Jaeyoung (WM),Debut Lineup,#ff0000,35,7,8,,,
Shin Jungmin (FM),40-72,#0066ff,69,50,52,,,
Shin Junseop (Music Works),10-39,#000000,49,26,20,,,
Son Junhyung (Maroo),40-72,#0066ff,19,69,68,,,
Song Hangyeom (Staro),10-39,#000000,5,16,14,,,
Song Minki (KQ),40-72,#0066ff,23,67,72,,,
Woo Jinyoung (Happy Face),Debut Lineup,#ff0000,32,1,1,,,
Woo Taewoon (Million Market),Debut Lineup,#ff0000,42,13,7,,,
Yeo Mingming (ByKing),10-39,#000000,51,12,11,,,
Yoon Jaehee (Happy Face),10-39,#000000,44,20,21,,,
Yoon Yongbin (Banana Culture),10-39,#000000,63,22,26,,,
