Names,Notes,Color,Ranking 0,Ranking 1,Ranking 2,Ranking 3,,
Baek Jin (Start),40-53,#0066ff,36,52,48,40,,
Chae Changhyun (Banana Culture),10-39,#000000,13,34,36,37,,
Choi Hyunseok (YG),Debut Lineup,#ff0000,4,17,12,8,,
Choi Jongho (KQ),40-53,#0066ff,27,57,61,50,,
Han Jongyeon (Maroo),Eliminated,#339933,17,53,54,60,,
Hiyama Kazuhiro (Major 9),40-53,#0066ff,25,47,44,41,,
Hwang Yunsung (Hunus),40-53,#0066ff,37,41,41,47,,
Jeong Inseong (YNB),10-39,#000000,12,23,28,27,,
Jin Sungho (Liveworks),10-39,#000000,58,32,32,29,,
Jo Hanguk (NH Media),Eliminated,#339933,65,64,63,67,,
Jo Yonggeun (Happy Face),10-39,#000000,60,10,15,17,,
Jo Youngho (Maroo),40-53,#0066ff,9,46,39,42,,
Jung Hyunwoo (FM),10-39,#000000,20,29,30,35,,
Jung Seungbo (Jungle),Eliminated,#339933,62,72,70,71,,
Jung Sungcheol (Urban Music),Eliminated,#339933,70,71,69,70,,
Jung Wooyoung (KQ),Eliminated,#339933,57,63,71,72,,
Kim Byeongkwan (Beat Interactive),Debut Lineup,#ff0000,3,6,3,3,,
Kim Donghyun (NH Media),Eliminated,#339933,10,48,50,56,,
Kim Dongyoon (WYNN),10-39,#000000,39,31,31,30,,
Kim Gukhyeon (Music Works),10-39,#000000,2,42,38,36,,
Kim Hangyeol (IME Korea),Eliminated,#339933,34,58,62,69,,
Kim Hongjoong (KQ),40-53,#0066ff,7,59,55,49,,
Kim Hyojin (WM),Debut Lineup,#ff0000,1,2,2,2,,
Kim Hyunjong (Hunus),40-53,#0066ff,22,43,49,48,,
Kim Hyunsu (Happy Face),10-39,#000000,31,19,23,23,,
Kim Jaeoh (Chrome),Eliminated,#339933,71,68,67,61,,
Kim Jinhong (Choeun),40-53,#0066ff,33,39,43,39,,
Kim Junhoe (Jungle),40-53,#0066ff,61,62,66,52,,
Kim Junkyu (YG),10-39,#000000,45,37,33,31,,
Kim Minhak (Hunus),10-39,#000000,6,36,37,38,,
Kim Minseok (WM),Debut Lineup,#ff0000,16,5,6,5,,
Kim Sang Jin (Music Works),Eliminated,#339933,18,54,56,54,,
Kim Sangwon (Staro),10-39,#000000,48,25,22,21,,
Kim Sangyeon (FM),Eliminated,#339933,64,44,42,58,,
Kim Sehyoon (Beat Interactive),10-39,#000000,54,27,25,20,,
Kim Seungmin (Mystic),Eliminated,#339933,67,61,59,55,,
Kim Sungyeon (IME Korea),Eliminated,#339933,59,70,64,66,,
Kim Yongjo (RBW),10-39,#000000,52,21,24,26,,
Kim Youngjin (Jackie Chan Group Korea),Eliminated,#339933,56,60,60,65,,
Lee Byunggon (YG),10-39,#000000,21,28,27,25,,
Lee Chandong (RBW),10-39,#000000,15,33,35,34,,
Lee Changsun (Choeun),Eliminated,#339933,24,56,57,59,,
Lee Changyoon (WM),10-39,#000000,14,11,13,12,,
Lee Donghun (Beat Interactive),10-39,#000000,8,18,17,15,,
Lee Gunmin (RBW),Debut Lineup,#ff0000,38,3,5,6,,
Lee Habit (NH Media),40-53,#0066ff,26,55,53,43,,
Lee Jaejun (Banana Culture),40-53,#0066ff,47,30,46,53,,
Lee Jaejun (RBW),10-39,#000000,66,35,19,18,,
Lee Rubin (Liveworks),10-39,#000000,28,14,16,16,,
Lee Seungjun (WM),Debut Lineup,#ff0000,53,4,4,4,,
Lim Youngjun (Eleven9),40-53,#0066ff,43,49,51,45,,
Ma Jaekyung (Hunus),40-53,#0066ff,41,45,47,51,,
Manny (Jungle),Eliminated,#339933,40,65,58,64,,
Mizuguchi Yuto (WM),Debut Lineup,#ff0000,11,9,9,11,,
Moon Jaeyoon (Liveworks),40-53,#0066ff,30,40,40,46,,
Moon Youngseo (Luce),Eliminated,#339933,55,66,65,62,,
Oh Heejun (YNB),10-39,#000000,46,24,29,32,,
Park Hyungyu (RBW),10-39,#000000,50,38,34,33,,
Park Minkyun (WM),10-39,#000000,29,8,10,14,,
Park Seungjun (YNB),10-39,#000000,68,15,18,19,,
Park Sunghyun (Chrome),40-53,#0066ff,72,51,45,44,,
Shim Jaeyoung (WM),Debut Lineup,#ff0000,35,7,8,10,,
Shin Jungmin (FM),Eliminated,#339933,69,50,52,57,,
Shin Junseop (Music Works),10-39,#000000,49,26,20,22,,
Son Junhyung (Maroo),Eliminated,#339933,19,69,68,68,,
Song Hangyeom (Staro),Debut Lineup,#ff0000,5,16,14,9,,
Song Minki (KQ),Eliminated,#339933,23,67,72,63,,
Woo Jinyoung (Happy Face),Debut Lineup,#ff0000,32,1,1,1,,
Woo Taewoon (Million Market),Debut Lineup,#ff0000,42,13,7,7,,
Yeo Mingming (ByKing),10-39,#000000,51,12,11,13,,
Yoon Jaehee (Happy Face),10-39,#000000,44,20,21,24,,
Yoon Yongbin (Banana Culture),10-39,#000000,63,22,26,28,,
