Names,Notes,Color,Episode 1
Ahn Dabi (Maroo Entertainment),B Class,#000080,54
Ahn Hanbyeol (IME Korea),B Class,#C45AEC,62
Baek Da-ae (Mostable Girls),A Class,#842DCE,10
Baek Hyejin (4ten),B Class,#C04000,66
Baek Hyunjoo (Seeart),A Class,#008000,28
Baek Minseo (Fave Entertainment),B Class,#FF00FF,55
Bang Yesol (Ono Entertainment),B Class,#0000A0,51
Choi Hayoung (Polaris),Debut Lineup,#FFFF00,3
Choi Jiseon (DK),A Class,#C12869,20
Choi Moonhee (Bonus Baby),A Class,#00FFFF,17
Choi Sujeong (Mostable Girls),C Class,#842DCE,81
Choi Yoon-a (Elris),C Class,#C85A17,72
Go Ara (Favorite),C Class,#8C001A,67
Go Junghee (Favorite),C Class,#8C001A,91
Han Byeol (Seeart),C Class,#008000,90
Han Gyeo-ul (Pro Beat),C Class,#2B547E,92
Heo Chanmi (Mostable Girls),A Class,#842DCE,29
Heo Youngju (Mole Girls),B Class,#FFA500,63
Hong Juhyun (Choon Entertainment),C Class,#B2C248,86
Hwang Jimin (Mystic Girls),A Class,#E77471,30
Hwang Woolim (Playback),B Class,#98FF98,39
Im Jihye (Seeart),A Class,#008000,38
Im Jungmin (Ono Entertainment),A Class,#0000A0,13
Im Sohyun (Major 9),B Class,#4EE2EC,64
Jang Eunsung (RBW),B Class,#00FF00,40
Jang Hyokyung (Star Empire),B Class,#ADD8E6,47
Jeon Heejin (Loona),B Class,#800000,53
Jeon Yeim (A100 Entertainment),A Class,#ADA96E,36
Jeon Yujin (Roots Entertainment),C Class,#F778A1,94
Jo Yuri (RBW),A Class,#00FF00,35
Jung Dasol (JD),C Class,#6F4E37,96
Jung Hayoon (Bonus Baby),Debut Lineup,#00FFFF,2
Jung Sara (Bacecamp),A Class,#808000,27
Jung Yeeun (Seeart),B Class,#008000,58
Jung Yujeong (No Agency),C Class,#5C5858,80
Kang Sihyun (Star Empire),A Class,#ADD8E6,18
Kim Bowon (Fave Entertainment),B Class,#FF00FF,49
Kim Chaehyun (Bonus Baby),B Class,#00FFFF,60
Kim Dayoon (Bonus Baby),A Class,#00FFFF,21
Kim Heesu (Eleven 9),Debut Lineup,#808080,6
Kim Hyunjin (Loona),A Class,#800000,23
Kim Hyunjung (Berry Good),C Class,#A52A2A,68
Kim Juyeon (IME Korea),A Class,#C45AEC,32
Kim Minji (Dreamcatcher),B Class,#800080,56
Kim Minju (Favorite),A Class,#8C001A,22
Kim Minkyung (Mostable Girls),A Class,#842DCE,33
Kim Seongeun (RBW),C Class,#00FF00,75
Kim Sihyun (Music Works),Debut Lineup,#000000,7
Kim Sori (Mole Entertainment),A Class,#FFA500,16
Kim Sua (Neon Punch),C Class,#307D7E,88
Kim Suhyun (Mystic Girls),C Class,#E77471,70
Kim Suyeon (TAJOY),C Class,#CFECEC,89
Kim Yoohyun (Dreamcatcher),Debut Lineup,#800080,8
Kim Yoonji (Star Empire),A Class,#ADD8E6,11
Kim Youngseo (RBW),Debut Lineup,#00FF00,4
Kim Yunyoung (No Agency),B Class,#5C5858,59
Kwak Hee-o (4ten),C Class,#C04000,78
Lee Bom (Roots Entertainment),B Class,#F778A1,46
Lee Hayoung (Playback),C Class,#98FF98,87
Lee Hyangsook (Sidus HQ),B Class,#89C35C,41
Lee Jieun (Music Works),B Class,#000000,48
Lee Seungmi (Major 9),C Class,#4EE2EC,97
Lee Siyeon (Dreamcatcher),B Class,#800080,44
Lee Soomin (Fave Entertainment),A Class,#FF00FF,15
Lee Suhyun (Major 9),B Class,#4EE2EC,43
Lee Sujin (Fave Entertainment),Debut Lineup,#FF00FF,1
Lee Yeeun (Mole Girls),C Class,#FFA500,79
Lee Yeoreum (Roots Entertainment),A Class,#F778A1,24
Lee Yesol (RBW),B Class,#00FF00,52
Lee Yongchae (Ono Entertainment),A Class,#0000A0,14
Lee Yubin (Dreamcatcher),B Class,#800080,50
Moon Eunjin (Illusion Entertainment),B Class,#1589FF,45
Moon Seungyoo (START),C Class,#FBB917,82
Nam Yujin (Bacecamp),C Class,#808000,69
Ng Sze Kai (Unleash),C Class,#7F462C,76
Ogawa Mizuki (No Agency),C Class,#5C5858,77
Park Chohyun (Seeart),C Class,#008000,85
Park Eunjo (IME Korea),C Class,#C45AEC,83
Park Gaeun (Pascal Entertainment),B Class,#008080,42
Park Haerin (Fave Entertainment),A Class,#FF00FF,12
Park Haeyoung (2Able),B Class,#E38AAE,65
Park Jiwoo (START),A Class,#FBB917,37
Park Soeun (Fave Entertainment),A Class,#FF00FF,19
Park Soomin (IME Korea),Debut Lineup,#C45AEC,9
Sekioka Rena (Star Road),C Class,#463E3F,93
Seo Jiheun (RBW),C Class,#00FF00,71
Seo Yuri (Berry Good),A Class,#A52A2A,25
Shin Jiwon (Berry Good),C Class,#A52A2A,98
Shin Jiyoon (Fave Entertainment),A Class,#FF00FF,31
Shin Ryujin (JYP),A Class,#0000FF,26
Shin Suhyun (Fave Entertainment),C Class,#FF00FF,74
Song Jieun (Double V),B Class,#5E5A80,61
Teramoto Yukika (Mole Girls),C Class,#FFA500,73
Watanabe Rui (HUB),C Class,#FFCBA4,84
Yang Hyesung (Elris),A Class,#C85A17,34
Yeo Inhye (CS Girls),C Class,#9E7BFF,95
Yoo Hajeong (Polaris Entertainment),B Class,#FFFF00,57
Yoo Jinkyung (Brave Entertainment),Debut Lineup,#C0C0C0,5
