Names,Notes,Color,Episode 0,Episode 5
Ahn Dabi (Maroo Entertainment),Top 49,#000080,54,28
Ahn Hanbyeol (IME Korea),,#C45AEC,62,50
Baek Da-ae (Mostable Girls),,#842DCE,10,50
Baek Hyejin (4ten),,#C04000,66,50
Baek Hyunjoo (Seeart),Top 49,#008000,28,10
Baek Minseo (Fave Entertainment),Top 49,#FF00FF,55,39
Bang Yesol (Ono Entertainment),,#0000A0,51,50
Choi Hayoung (Polaris),Debut Lineup,#FFFF00,3,2
Choi Jiseon (DK),Top 49,#C12869,20,24
Choi Moonhee (Bonus Baby),Debut Lineup,#00FFFF,17,8
Choi Sujeong (Mostable Girls),,#842DCE,81,50
Choi Yoon-a (Elris),Top 49,#C85A17,72,17
Go Ara (Favorite),Top 49,#8C001A,67,20
Go Junghee (Favorite),,#8C001A,91,50
Han Byeol (Seeart),,#008000,90,50
Han Gyeo-ul (Pro Beat),,#2B547E,92,50
Heo Chanmi (Mostable Girls),Top 49,#842DCE,29,32
Heo Youngju (Mole Girls),,#FFA500,63,50
Hong Juhyun (Choon Entertainment),,#B2C248,86,50
Hwang Jimin (Mystic Girls),,#E77471,30,50
Hwang Woolim (Playback),Top 49,#98FF98,39,41
Im Jihye (Seeart),,#008000,38,50
Im Jungmin (Ono Entertainment),,#0000A0,13,50
Im Sohyun (Major 9),Top 49,#4EE2EC,64,37
Jang Eunsung (RBW),Top 49,#00FF00,40,42
Jang Hyokyung (Star Empire),,#ADD8E6,47,50
Jeon Heejin (Loona),Top 49,#800000,53,15
Jeon Yeim (A100 Entertainment),Top 49,#ADA96E,36,40
Jeon Yujin (Roots Entertainment),,#F778A1,94,50
Jo Yuri (RBW),Top 49,#00FF00,35,13
Jung Dasol (JD),,#6F4E37,96,50
Jung Hayoon (Bonus Baby),Debut Lineup,#00FFFF,2,4
Jung Sara (Bacecamp),Debut Lineup,#808000,27,9
Jung Yeeun (Seeart),,#008000,58,50
Jung Yujeong (No Agency),,#5C5858,80,50
Kang Sihyun (Star Empire),Top 49,#ADD8E6,18,35
Kim Bowon (Fave Entertainment),Top 49,#FF00FF,49,33
Kim Chaehyun (Bonus Baby),Top 49,#00FFFF,60,47
Kim Dayoon (Bonus Baby),,#00FFFF,21,50
Kim Heesu (Eleven 9),,#808080,6,50
Kim Hyunjin (Loona),Debut Lineup,#800000,23,7
Kim Hyunjung (Berry Good),Top 49,#A52A2A,68,19
Kim Juyeon (IME Korea),Top 49,#C45AEC,32,14
Kim Minji (Dreamcatcher),Debut Lineup,#800080,56,3
Kim Minju (Favorite),,#8C001A,22,50
Kim Minkyung (Mostable Girls),,#842DCE,33,50
Kim Seongeun (RBW),,#00FF00,75,50
Kim Sihyun (Music Works),Top 49,#000000,7,31
Kim Sori (Mole Entertainment),Top 49,#FFA500,16,12
Kim Sua (Neon Punch),Top 49,#307D7E,88,26
Kim Suhyun (Mystic Girls),,#E77471,70,50
Kim Suyeon (TAJOY),,#CFECEC,89,50
Kim Yoohyun (Dreamcatcher),Top 49,#800080,8,34
