Names,Notes,Color,Episode 0,Episode 4,Episode 5
Ahn Dabi (Maroo Entertainment),,#000080,54,86,77
Ahn Hanbyeol (IME Korea),,#C45AEC,62,70,87
Baek Da-ae (Mostable Girls),,#842DCE,10,69,64
Baek Hyejin (4ten),,#C04000,66,74,67
Baek Hyunjoo (Seeart),Debut Lineup,#008000,28,5,5
Baek Minseo (Fave Entertainment),,#FF00FF,55,60,58
Bang Yesol (Ono Entertainment),,#0000A0,51,85,84
Choi Hayoung (Polaris),,#FFFF00,3,35,24
Choi Jiseon (DK),,#C12869,20,93,90
Choi Moonhee (Bonus Baby),Debut Lineup,#00FFFF,17,8,4
Choi Sujeong (Mostable Girls),,#842DCE,81,92,93
Choi Yoon-a (Elris),,#C85A17,72,32,36
Go Ara (Favorite),,#8C001A,67,19,17
Go Junghee (Favorite),,#8C001A,91,26,32
Han Byeol (Seeart),,#008000,90,68,69
Han Gyeo-ul (Pro Beat),,#2B547E,92,71,70
Heo Chanmi (Mostable Girls),,#842DCE,29,10,11
Heo Youngju (Mole Girls),,#FFA500,63,50,51
Hong Juhyun (Choon Entertainment),,#B2C248,86,56,60
Hwang Jimin (Mystic Girls),,#E77471,30,34,38
Hwang Woolim (Playback),,#98FF98,39,51,54
Im Jihye (Seeart),,#008000,38,95,91
Im Jungmin (Ono Entertainment),,#0000A0,13,30,33
Im Sohyun (Major 9),,#4EE2EC,64,62,61
Jang Eunsung (RBW),,#00FF00,40,73,81
Jang Hyokyung (Star Empire),,#ADD8E6,47,29,34
Jeon Heejin (Loona),Debut Lineup,#800000,53,7,6
Jeon Yeim (A100 Entertainment),,#ADA96E,36,82,76
Jeon Yujin (Roots Entertainment),,#F778A1,94,67,78
Jo Yuri (RBW),,#00FF00,35,66,66
Jung Dasol (JD),,#6F4E37,96,89,88
Jung Hayoon (Bonus Baby),,#00FFFF,2,47,27
Jung Sara (Bacecamp),,#808000,27,16,21
Jung Yeeun (Seeart),,#008000,58,65,65
Jung Yujeong (No Agency),,#5C5858,80,59,59
Kang Sihyun (Star Empire),,#ADD8E6,18,18,22
Kim Bowon (Fave Entertainment),,#FF00FF,49,28,31
Kim Chaehyun (Bonus Baby),,#00FFFF,60,57,56
