Names,Notes,Color,Episode 0,Episode 4,Episode 5,Episode 7,Episode 8
Ahn Dabi (Maroo Entertainment),Eliminated,#000080,54,86,77,72,
Ahn Hanbyeol (IME Korea),Eliminated,#C45AEC,62,70,87,80,
Baek Da-ae (Mostable Girls),Eliminated,#842DCE,10,69,64,57,
Baek Hyejin (4ten),Eliminated,#C04000,66,74,67,82,
Baek Hyunjoo (Seeart),Debut Lineup,#008000,28,5,5,6,7
Baek Minseo (Fave Entertainment),Eliminated,#FF00FF,55,60,58,60,
Bang Yesol (Ono Entertainment),Eliminated,#0000A0,51,85,84,78,
Choi Hayoung (Polaris),,#FFFF00,3,35,24,21,29
Choi Jiseon (DK),Eliminated,#C12869,20,93,90,73,
Choi Moonhee (Bonus Baby),Debut Lineup,#00FFFF,17,8,4,4,5
Choi Sujeong (Mostable Girls),Eliminated,#842DCE,81,92,93,92,
Choi Yoon-a (Elris),,#C85A17,72,32,36,35,25
Go Ara (Favorite),,#8C001A,67,19,17,14,14
Go Junghee (Favorite),,#8C001A,91,26,32,29,42
Han Byeol (Seeart),Eliminated,#008000,90,68,69,65,
Han Gyeo-ul (Pro Beat),Eliminated,#2B547E,92,71,70,83,
Heo Chanmi (Mostable Girls),,#842DCE,29,10,11,10,13
Heo Youngju (Mole Girls),Eliminated,#FFA500,63,50,51,47,
Hong Juhyun (Choon Entertainment),Eliminated,#B2C248,86,56,60,76,
Hwang Jimin (Mystic Girls),,#E77471,30,34,38,40,41
Hwang Woolim (Playback),Eliminated,#98FF98,39,51,54,56,
Im Jihye (Seeart),Eliminated,#008000,38,95,91,94,
Im Jungmin (Ono Entertainment),,#0000A0,13,30,33,33,43
Im Sohyun (Major 9),,#4EE2EC,64,62,61,44,30
Jang Eunsung (RBW),Eliminated,#00FF00,40,73,81,74,
Jang Hyokyung (Star Empire),,#ADD8E6,47,29,34,27,19
Jeon Heejin (Loona),Debut Lineup,#800000,53,7,6,5,3
Jeon Yeim (A100 Entertainment),Eliminated,#ADA96E,36,82,76,84,
Jeon Yujin (Roots Entertainment),Eliminated,#F778A1,94,67,78,89,
Jo Yuri (RBW),Eliminated,#00FF00,35,66,66,81,
Jung Dasol (JD),Eliminated,#6F4E37,96,89,88,90,
Jung Hayoon (Bonus Baby),,#00FFFF,2,47,27,17,16
Jung Sara (Bacecamp),,#808000,27,16,21,20,33
Jung Yeeun (Seeart),Eliminated,#008000,58,65,65,62,
Jung Yujeong (No Agency),Eliminated,#5C5858,80,59,59,71,
Kang Sihyun (Star Empire),,#ADD8E6,18,18,22,22,36
Kim Bowon (Fave Entertainment),,#FF00FF,49,28,31,26,20
Kim Chaehyun (Bonus Baby),Eliminated,#00FFFF,60,57,56,63,
Kim Dayoon (Bonus Baby),,#00FFFF,21,27,29,28,39
