Name,Notes,Color,Episode 2,Episode 3,Episode 4,Episode 5,Episode 6,Episode 7,Episode 8,Episode 9,Episode 10
Meng Meiqi,Centre of Rocket Girls 101,#e2bacc,16,6,4,1,1,1,1,1,1
Wu Xuanyi,Made Rocket Girls lineup.,#e2bacc,5,1,1,2,3,3,3,3,2
Yang Chaoyue,Made Rocket Girls lineup.,#888888,4,3,3,4,2,2,9,7,3
Duan Aojuan,Made Rocket Girls lineup.,#673278,3,4,6,6,8,5,4,5,4
Yamy,Made Rocket Girls lineup.,#e2bacc,1,2,2,3,4,4,6,4,5
Lai Meiyun,Made Rocket Girls lineup.,#e9d95d,18,17,16,12,14,14,7,8,6
Zi Ning,Made Rocket Girls lineup.,#e2bacc,47,23,18,5,5,7,10,9,7
Sunnee/Yang Yunqing,Made Rocket Girls lineup.,#673278,6,7,7,8,7,8,11,11,8
Li Ziting,Made Rocket Girls lineup.,#e2bacc,11,11,11,11,6,6,5,6,9
Fu Jing,Made Rocket Girls lineup.,#e2bacc,8,8,10,9,9,9,12,12,10
Xu Mengjie,Made Rocket Girls lineup.,#e9d95d,13,15,15,16,16,16,15,16,11
Li Zixuan,Eliminated in finale.,#e2bacc,12,10,9,10,13,13,23,17,12
Liu Renyu,Eliminated in finale.,#e2bacc,23,22,22,14,15,15,14,13,13
Chen Yihan,Eliminated in finale.,#888888,20,26,31,35,37,35,25,21,14
Wang Ju,Eliminated in finale.,#673278,105,94,90,55,36,23,2,2,15
Gao Qiuzi,Eliminated in finale.,#77c89a,21,18,20,13,11,11,8,10,16
Gao Yingxi,Eliminated in finale.,#e2bacc,103,31,29,15,12,12,13,14,17
Qi Yandi,Eliminated in finale.,#673278,55,45,27,19,17,17,18,15,18
Xu Jingyun,Eliminated in finale.,#673278,32,36,54,23,28,31,20,22,19
Lu Xiaoyu,Eliminated in finale.,#e2bacc,35,20,19,20,22,20,16,18,20
Qiang Dongyue,Eliminated in finale.,#e9d95d,2,5,5,7,10,10,17,20,21
Wu Yingxiang,Eliminated in finale.,#e9d95d,14,16,17,29,25,26,26,19,22
Jiang Shen,Eliminated in Ep 9.,#673278,56,46,59,38,26,25,22,23,-
Zhao Yaoke,Eliminated in Ep 9.,#77c89a,17,12,12,18,18,18,19,24,-
Kimberley Chen/Chen Fangyu,Eliminated in Ep 9.,#e9d95d,7,13,8,17,21,19,24,26,-
Wu Qian Ying,Eliminated in Ep 9.,#e2bacc,104,33,33,22,24,24,27,27,-
Fan Wei,Eliminated in Ep 9.,#673278,22,24,26,24,30,33,28,28,-
Wang Mohan,Eliminated in Ep 9.,#673278,33,35,49,25,19,21,29,29,-
Wei Jin,Eliminated in Ep 9.,#e9d95d,39,30,32,32,32,27,31,30,-
Wang Ting,Eliminated in Ep 9.,#e9d95d,50,52,45,31,43,34,32,31,-
Lu Xiaocao,Eliminated in Ep 9.,#888888,27,32,36,21,23,28,30,32,-
Liu Dan Meng,Eliminated in Ep 9.,#e9d95d,38,34,38,43,34,36,34,33,-
Luo Yitan,Eliminated in Ep 9.,#673278,60,38,37,33,27,30,35,34,-
Jiao Manting,Eliminated in Ep 9.,#77c89a,19,19,24,28,20,22,33,35,-
Luo Yijia,Eliminated in Ep 9.,#e9d95d,44,27,23,36,31,32,36,36,-
Wang Qing,Eliminated in Ep 7.,#673278,9,9,13,27,33,39,-,-,-
Ge Jiahui,Eliminated in Ep 7.,#673278,10,14,14,34,42,43,-,-,-
Cindy,Eliminated and replaced in Ep 2 by Spot Stealing Trainee.,#000000,15,-,-,-,-,-,-,-,-
Yu Meihong,Eliminated in Ep 7.,#888888,24,28,30,30,39,41,-,-,-
Yang Bing,Eliminated in Ep 7.,#888888,25,54,55,49,48,49,-,-,-
Abby,Left in Ep 2. Replaced by Wang Ju.,#000000,26,-,-,-,-,-,-,-,-
Ma Xingyu,Eliminated in Ep 7.,#888888,28,25,25,58,55,53,-,-,-
Rui Meng,Eliminated in Ep 4.,#888888,29,61,79,-,-,-,-,-,-
Xiang Yuxin,Eliminated in Ep 7.,#888888,30,64,46,56,58,56,-,-,-
Zhang Chuhan,Eliminated in Ep 7.,#673278,31,57,48,52,56,55,-,-,-
Lucia Chen/Chen Yingyan,Eliminated in Ep 4.,#77c89a,34,44,57,-,-,-,-,-,-
Zhang Xinyue,Eliminated in Ep 4.,#77c89a,36,47,64,-,-,-,-,-,-
Liu Dexi,Eliminated in Ep 7.,#673278,37,74,53,57,53,46,-,-,-
Jiang Jiner,Eliminated in Ep 7.,#e9d95d,40,40,52,41,46,47,-,-,-
Chen Yuyuan,Eliminated in Ep 4.,#e9d95d,41,71,82,-,,-,-,-,-
Zhang Xi,Eliminated in Ep 7.,#e9d95d,42,43,42,48,50,51,-,-,-
Li Tianyun,Eliminated in Ep 4.,#77c89a,43,67,80,-,,-,-,-,-
Yin Rui,Eliminated in Ep 7.,#673278,45,50,39,53,54,58,-,-,-
Lin Junyi,Eliminated in Ep 4.,#e9d95d,46,56,71,-,-,-,-,-,-
Xia Shijie,Eliminated in Ep 4.,#673278,48,75,84,-,-,-,-,-,-
Zhu Jiaxi,Eliminated in Ep 4.,#77c89a,49,77,86,-,-,-,-,-,-
Blair Yue,Eliminated in Ep 4.,#77c89a,51,60,74,-,,-,-,-,-
Mena,Eliminated in Ep 7.,#e9d95d,52,69,40,51,51,52,-,-,-
Zhou Xue,Eliminated in Ep 4.,#673278,53,49,60,-,-,-,-,-,-
Yang Meiqi,Eliminated in Ep 4.,#77c89a,54,55,69,-,-,-,-,-,-
Zhang Xinlei,Eliminated in Ep 4.,#888888,57,65,56,-,,-,-,-,-
Du Jinyu,Eliminated in Ep 7.,#673278,58,37,44,46,38,37,-,-,-
Chou Chou,Eliminated in Ep 7.,#e9d95d,59,42,43,37,44,44,-,-,-
Liu Nian,Eliminated in Ep 7.,#888888,61,48,63,47,41,42,-,-,-
Lin Jia An,Eliminated in Ep 4.,#e9d95d,62,62,72,-,-,-,-,-,-
Pan Junya,Eliminated in Ep 4.,#673278,63,72,76,-,-,-,-,-,-
Mao Weijia,Eliminated in Ep 4.,#77c89a,64,59,70,-,-,-,-,-,-
Ni Qiuyun,Eliminated in Ep 4.,#673278,65,58,67,-,-,-,-,-,-
Chen Yifan,Eliminated in Ep 4.,#77c89a,66,70,81,-,-,-,-,-,-
Hu YueEr,Eliminated in Ep 4.,#77c89a,67,68,78,-,-,-,-,-,-
Dora,Eliminated in Ep 4.,#000000,68,-,-,-,-,-,-,-,-
Gou Xueying,Saved in Ep 4 then Eliminated in Ep 7.,#77c89a,69,66,47,40,47,48,-,-,-
Luo Zhiyi,Eliminated in Ep 4.,#e9d95d,70,39,41,44,49,50,-,-,-
Ju Lin,Saved in Ep 4 then Eliminated in Ep 7.,#888888,71,81,50,42,45,45,-,-,-
Xu Shiyin,Eliminated in Ep 4.,#888888,72,76,75,-,,-,-,-,-
Ren Zhen,Eliminated in Ep 4.,#77c89a,73,63,66,-,-,-,-,-,-
Wu Qian,Saved in Ep 4 then Eliminated in Ep 7.,#673278,74,78,51,54,57,57,-,-,-
Yang Meiling,Eliminated in Ep 4.,#888888,75,84,87,-,-,-,-,-,-
Liu Sixian,Saved in Ep 4 then Eliminated in Ep 7.,#77c89a,76,41,34,50,52,54,-,-,-
Liu Niyi,Eliminated in Ep 4.,#673278,77,85,88,-,-,-,-,-,-
Su Ruiqi,,#e9d95d,78,29,28,39,29,29,21,-,-
Zhang Xinjie,Eliminated in Ep 4.,#888888,79,82,65,-,-,-,-,-,-
Jiang Yanxi,Eliminated in Ep 4.,#77c89a,80,87,58,-,-,-,-,-,-
Wang Yiran,Eliminated in Ep 4.,#e9d95d,81,83,83,-,-,-,-,-,-
Luo Tianshu,Eliminated in Ep 4.,#673278,82,91,92,-,-,-,-,-,-
Yang Ruihan,Eliminated in Ep 4.,#e9d95d,83,79,68,-,-,-,-,-,-
Liu Yushan,Eliminated in Ep 4.,#77c89a,84,86,85,-,-,-,-,-,-
Wang Yalin,Eliminated in Ep 4.,#77c89a,85,73,77,-,-,-,-,-,-
Yin Rouyi,Eliminated in Ep 4.,#888888,86,90,91,-,-,-,-,-,-
Liu Jiaying,Eliminated in Ep 4.,#673278,87,92,94,-,-,-,-,-,-
Wu Xiaoxuan,Eliminated in Ep 4.,#77c89a,88,51,61,-,-,-,-,-,-
Yang Han,Eliminated in Ep 4.,#e9d95d,89,93,93,-,-,-,-,-,-
Zhu Tiantian,Eliminated in Ep 7.,#888888,90,88,35,45,40,38,-,-,-
Han Dan,Eliminated in Ep 4.,#77c89a,91,89,89,-,-,-,-,-,-
Shao Xia,Eliminated in Ep 4.,#673278,92,80,73,-,-,-,-,-,-
Zhao Ling,Eliminated in Ep 4.,#000000,93,-,-,-,-,-,-,-,-
Wu Yun Ting,Eliminated in Ep 4.,#77c89a,94,95,95,-,-,-,-,-,-
Zhang Jingxuan,Eliminated in Ep 4.,#888888,95,53,62,-,-,-,-,-,-
Wang Manjun,Eliminated in Ep 4.,#77c89a,96,96,96,-,-,-,-,-,-
Yan Kexin,Eliminated in Ep 4.,#77c89a,97,97,98,-,-,-,-,-,-
Zheng Cheng Cheng,Eliminated in Ep 4.,#000000,98,-,-,-,-,-,-,-,-
Zhang Yuwen,Eliminated in Ep 4.,#77c89a,99,98,97,-,-,-,-,-,-
Wang Juemeng,Eliminated in Ep 4.,#77c89a,100,99,99,-,-,-,-,-,-
Qiu Luqing,Eliminated in Ep 4.,#888888,101,100,100,-,-,-,-,-,-
Re Yina,Eliminated in Ep 7.,#888888,102,21,21,26,35,40,-,-,-
