Name,Notes,Color,Episode 2,Episode 3,,,
Yamy,JC Universe Entertainment trainee,#e2bacc,1,2,,,
Qiang Dongyue,Banana Entertainment trainee,#e9d95d,2,5,,,
Duan Aojuan,Long WuTian Culture trainee,#673278,3,4,,,
Yang Chaoyue,CH2 member,#888888,4,3,,,
Wu Xuanyi,"Yuehua Entertainment trainee, also a member of Cosmic Girls.",#e2bacc,5,1,,,
Sunnee/Yang Yunqing,K-L Entertainment trainee,#673278,6,7,,,
Kimberley Chen/Chen Fangyu,Universal Music Taiwan trainee,#e9d95d,7,13,,,
Fu Jing,Banana Entertainment trainee,#e2bacc,8,8,,,
Wang Qing,K-L Entertainment trainee,#673278,9,9,,,
Ge Jiahui,"Individual Trainee, former SNH48 member",#673278,10,14,,,
Li Ziting,Huaying Yixing trainee,#e2bacc,11,11,,,
Li Zixuan,OACA trainee,#e2bacc,12,10,,,
Xu Mengjie,Ladybees member,#e9d95d,13,15,,,
Wu Yingxiang,T-Trainee Culture trainee,#e9d95d,14,16,,,
Cindy,Eliminated in Episode 2 / 3UNSHINE member,#000000,15,-,,,
Meng Meiqi,"Yuehua Entertainment trainee, also a member of Cosmic Girls.",#e2bacc,16,6,,,
Zhao Yaoke,K-L Entertainment trainee,#77c89a,17,12,,,
Lai Meiyun,S.I.N.G member,#e9d95d,18,17,,,
Jiao Manting,Sanmei Entertainment trainee,#77c89a,19,19,,,
Chen Yihan,JOY Entertainment trainee,#888888,20,26,,,
Gao Qiuzi,Ladybees member,#77c89a,21,18,,,
Fan Wei,YY Media trainee,#673278,22,24,,,
Liu Renyu,Oxygen Girls member,#e2bacc,23,22,,,
Yu Meihong,K-L Entertainment trainee,#888888,24,28,,,
Yang Bing,Z-Cherry Culture trainee,#888888,25,54,,,
Abby,Left in Episode 2 / 3UNSHINE member,#000000,26,-,,,
Lu Xiaocao,Ivy Culture trainee,#888888,27,32,,,
Ma Xingyu,Oxygen Girls member,#888888,28,25,,,
Rui Meng,"Mavericks Entertainment trainee, participated in Trainee18",#888888,29,61,,,
Xiang Yuxin,YY Media trainee,#888888,30,64,,,
Zhang Chuhan,Huakai Banxia Culture trainee,#673278,31,57,,,
Xu Jingyun,Emperor Entertainment Group trainee,#673278,32,36,,,
Wang Mohan,DongLun Media trainee,#673278,33,35,,,
Lucia Chen/Chen Yingyan,K-L Entertainment trainee,#77c89a,34,44,,,
Lu Xiaoyu,Mango Entertainment trainee,#e2bacc,35,20,,,
Zhang Xinyue,Lajin Media trainee,#77c89a,36,47,,,
Liu Dexi,Super Jet Entertainment trainee,#673278,37,74,,,
Liu Dan Meng,Na Zhu Entertainment trainee,#e9d95d,38,34,,,
Wei Jin,JC Universe Entertainment trainee,#e9d95d,39,30,,,
Jiang Jiner,Yuehua Entertainment trainee,#e9d95d,40,40,,,
Chen Yuyuan,Z-Cherry Culture trainee,#e9d95d,41,71,,,
Zhang Xi,Yuehua Entertainment trainee,#e9d95d,42,43,,,
Li Tianyun,"ACEMax-Red member, participated in The Unit as Lena",#77c89a,43,67,,,
Luo Yijia,Oxygen Girls member,#e9d95d,44,27,,,
Yin Rui,JXJY Culture trainee,#673278,45,50,,,
Lin Junyi,OACA trainee,#e9d95d,46,56,,,
Zi Ning,"Mavericks Entertainment trainee, participated in Trainee18",#e2bacc,47,23,,,
Xia Shijie,Z-Cherry Culture trainee,#673278,48,75,,,
Zhu Jiaxi,Huanri Shiji Culture trainee,#77c89a,49,77,,,
Wang Ting,MOI member,#e9d95d,50,52,,,
Blair Yue,"Mavericks Entertainment trainee, participated in Trainee18",#77c89a,51,60,,,
Mena,Yuehua Entertainment trainee,#e9d95d,52,69,,,
Zhou Xue,Rongyi Culture trainee,#673278,53,49,,,
Yang Meiqi,CH2 member,#77c89a,54,55,,,
Qi Yandi,Huayi Brothers trainee,#673278,55,45,,,
Jiang Shen,S.I.N.G member,#673278,56,46,,,
Zhang Xinlei,MOMO Limited trainee,#888888,57,65,,,
Du Jinyu,JC Universe Entertainment trainee,#673278,58,37,,,
Chou Chou,JC Universe Entertainment trainee,#e9d95d,59,42,,,
Luo Yitan,JC Universe Entertainment trainee,#673278,60,38,,,
Liu Nian,AKB48 China pre-debut member.,#888888,61,48,,,
Lin Jia An,C.Y Media trainee,#e9d95d,62,62,,,68
Pan Junya,Yuehua Entertainment trainee.,#673278,63,72,,,
Mao Weijia,AKB48 China pre-debut member.,#77c89a,64,59,,,
Ni Qiuyun,OACA trainee,#673278,65,58,,,
Chen Yifan,YY Media trainee,#77c89a,66,70,,,
