Name,Notes,Color,Episode 2,Episode 3,Episode 4,Episode 5,Episode 6,Episode 7,Episode 8,Episode 9
Meng Meiqi,"Yuehua Entertainment trainee, also a member of Cosmic Girls.",#e2bacc,16,6,4,1,1,1,1,1
Naomi/Wang Ju,Individual Trainee / Intruder (spot-stealer),#673278,105,94,90,55,36,23,2,2
Wu Xuanyi,"Yuehua Entertainment trainee, also a member of Cosmic Girls.",#e2bacc,5,1,1,2,3,3,3,3
Duan Aojuan,Long WuTian Culture trainee,#673278,3,4,6,6,8,5,4,5
Li Ziting,Huaying Yixing trainee,#e2bacc,11,11,11,11,6,6,5,6
Yamy,JC Universe Entertainment trainee,#e2bacc,1,2,2,3,4,4,6,4
Lai Meiyun,S.I.N.G member,#e9d95d,18,17,16,12,14,14,7,8
Gao Qiuzi,Ladybees member,#77c89a,21,18,20,13,11,11,8,10
Yang Chaoyue,CH2 member,#888888,4,3,3,4,2,2,9,7
Zi Ning,"Mavericks Entertainment trainee, participated in Trainee18",#e2bacc,47,23,18,5,5,7,10,9
Sunnee/Yang Yunqing,K-L Entertainment trainee,#673278,6,7,7,8,7,8,11,11
Fu Jing,Banana Entertainment trainee,#e2bacc,8,8,10,9,9,9,12,12
Gao Yingxi,SDT Girls member / Intruder (spot-stealer),#e2bacc,103,31,29,15,12,12,13,14
Liu Renyu,Oxygen Girls member,#e2bacc,23,22,22,14,15,15,14,13
Xu Mengjie,Ladybees member,#e9d95d,13,15,15,16,16,16,15,16
Lu Xiaoyu,Mango Entertainment trainee,#e2bacc,35,20,19,20,22,20,16,18
Qiang Dongyue,Banana Entertainment trainee,#e9d95d,2,5,5,7,10,10,17,20
Qi Yandi,Huayi Brothers trainee,#673278,55,45,27,19,17,17,18,15
Zhao Yaoke,K-L Entertainment trainee,#77c89a,17,12,12,18,18,18,19,24
Xu Jingyun,Emperor Entertainment Group trainee,#673278,32,36,54,23,28,31,20,22
Su Ruiqi,Oxygen Girls member,#e9d95d,78,29,28,39,29,29,21,-
Jiang Shen,S.I.N.G member ,#673278,56,46,59,38,26,25,22,23
Li Zixuan,OACA trainee,#e2bacc,12,10,9,10,13,13,23,17
Kimberley Chen/Chen Fangyu,Universal Music Taiwan trainee,#e9d95d,7,13,8,17,21,19,24,26
Chen Yihan,JOY Entertainment trainee,#888888,20,26,31,35,37,35,25,21
Wu Yingxiang,T-Trainee Culture trainee,#e9d95d,14,16,17,29,25,26,26,19
Wu Qian Ying,SDT Girls member / Intruder (spot-stealer),#e2bacc,104,33,33,22,24,24,27,27
Fan Wei,YY Media trainee,#673278,22,24,26,24,30,33,28,28
Wang Mohan,DongLun Media trainee,#673278,33,35,49,25,19,21,29,29
Lu Xiaocao,Ivy Culture trainee,#888888,27,32,36,21,23,28,30,32
Wei Jin,JC Universe Entertainment trainee,#e9d95d,39,30,32,32,32,27,31,30
Wang Ting,MOI member,#e9d95d,50,52,45,31,43,34,32,31
Jiao Manting,Sanmei Entertainment trainee,#77c89a,19,19,24,28,20,22,33,35
Liu Dan Meng,Na Zhu Entertainment trainee,#e9d95d,38,34,38,43,34,36,34,33
Luo Yitan,JC Universe Entertainment trainee,#673278,60,38,37,33,27,30,35,34
Luo Yijia,Oxygen Girls member,#e9d95d,44,27,23,36,31,32,36,36
Wang Qing,K-L Entertainment trainee,#673278,9,9,13,27,33,39,-,-
Ge Jiahui,"Individual Trainee, former SNH48 member",#673278,10,14,14,34,42,43,-,-
Cindy,Eliminated in Episode 2 / 3UNSHINE member,#000000,15,-,-,-,-,-,-,-
Yu Meihong,K-L Entertainment trainee,#888888,24,28,30,30,39,41,-,-
Yang Bing,Z-Cherry Culture trainee,#888888,25,54,55,49,48,49,-,-
Abby,Left in Episode 2 / 3UNSHINE member,#000000,26,-,-,-,-,-,-,-
Ma Xingyu,Oxygen Girls member,#888888,28,25,25,58,55,53,-,-
Rui Meng,"Mavericks Entertainment trainee, participated in Trainee18 / Eliminated in Episode 4",#888888,29,61,79,-,-,-,-,-
Xiang Yuxin,YY Media trainee,#888888,30,64,46,56,58,56,-,-
Zhang Chuhan,Huakai Banxia Culture trainee,#673278,31,57,48,52,56,55,-,-
Lucia Chen/Chen Yingyan,K-L Entertainment trainee / Eliminated in Episode 4,#77c89a,34,44,57,-,-,-,-,-
Zhang Xinyue,Lajin Media trainee / Eliminated in Episode 4,#77c89a,36,47,64,-,-,-,-,-
Liu Dexi,Super Jet Entertainment trainee,#673278,37,74,53,57,53,46,-,-
Jiang Jiner,Yuehua Entertainment trainee,#e9d95d,40,40,52,41,46,47,-,-
Chen Yuyuan,Z-Cherry Culture trainee / Eliminated in Episode 4,#e9d95d,41,71,82,-,,-,-,-
Zhang Xi,Yuehua Entertainment trainee,#e9d95d,42,43,42,48,50,51,-,-
Li Tianyun,"ACEMax-Red member, participated in The Unit as Lena / Eliminated in Episode 4",#77c89a,43,67,80,-,,-,-,-
Yin Rui,JXJY Culture trainee,#673278,45,50,39,53,54,58,-,-
Lin Junyi,OACA trainee / Eliminated in Episode 4,#e9d95d,46,56,71,-,-,-,-,-
Xia Shijie,Z-Cherry Culture trainee / Eliminated in Episode 4,#673278,48,75,84,-,-,-,-,-
Zhu Jiaxi,Huanri Shiji Culture trainee / Eliminated in Episode 4,#77c89a,49,77,86,-,-,-,-,-
Blair Yue,"Mavericks Entertainment trainee, participated in Trainee18 / Eliminated in Episode 4",#77c89a,51,60,74,-,,-,-,-
Mena,Yuehua Entertainment trainee,#e9d95d,52,69,40,51,51,52,-,-
Zhou Xue,Rongyi Culture trainee / Eliminated in Episode 4,#673278,53,49,60,-,-,-,-,-
Yang Meiqi,CH2 member / Eliminated in Episode 4,#77c89a,54,55,69,-,-,-,-,-
Zhang Xinlei,MOMO Limited trainee / Eliminated in Episode 4,#888888,57,65,56,-,,-,-,-
Du Jinyu,JC Universe Entertainment trainee,#673278,58,37,44,46,38,37,-,-
Chou Chou,JC Universe Entertainment trainee,#e9d95d,59,42,43,37,44,44,-,-
Liu Nian,AKB48 China pre-debut member. ,#888888,61,48,63,47,41,42,-,-
Lin Jia An,C.Y Media trainee / Eliminated in Episode 4,#e9d95d,62,62,72,-,-,-,-,-
Pan Junya,Yuehua Entertainment trainee / Eliminated in Episode 4,#673278,63,72,76,-,-,-,-,-
Mao Weijia,AKB48 China pre-debut member. / Eliminated in Episode 4,#77c89a,64,59,70,-,-,-,-,-
Ni Qiuyun,OACA trainee / Eliminated in Episode 4,#673278,65,58,67,-,-,-,-,-
Chen Yifan,YY Media trainee / Eliminated in Episode 4,#77c89a,66,70,81,-,-,-,-,-
Hu YueEr,YZGirls member / Eliminated in Episode 4,#77c89a,67,68,78,-,-,-,-,-
Dora,Eliminated in Episode 2 / 3UNSHINE member,#000000,68,-,-,-,-,-,-,-
Gou Xueying,MOI member,#77c89a,69,66,47,40,47,48,-,-
Luo Zhiyi,JC Universe Entertainment trainee,#e9d95d,70,39,41,44,49,50,-,-
Ju Lin,Dream Entertainment trainee,#888888,71,81,50,42,45,45,-,-
Xu Shiyin,S.I.N.G member trainee / Eliminated in Episode 4,#888888,72,76,75,-,,-,-,-
Ren Zhen,YZGirls member trainee,#77c89a,73,63,66,-,-,-,-,-
Wu Qian,YY Media trainee,#673278,74,78,51,54,57,57,-,-
Yang Meiling,CH2 member / Eliminated in Episode 4,#888888,75,84,87,-,-,-,-,-
Liu Sixian,YY Media trainee,#77c89a,76,41,34,50,52,54,-,-
Liu Niyi,Banana Entertainment trainee / Eliminated in Episode 4,#673278,77,85,88,-,-,-,-,-
Zhang Xinjie,HelloGirls member / Eliminated in Episode 4,#888888,79,82,65,-,-,-,-,-
Jiang Yanxi,HelloGirls member / Eliminated in Episode 4,#77c89a,80,87,58,-,-,-,-,-
Wang Yiran,Banana Entertainment trainee / Eliminated in Episode 4,#e9d95d,81,83,83,-,-,-,-,-
Luo Tianshu,Individual Trainee / Eliminated in Episode 4,#673278,82,91,92,-,-,-,-,-
Yang Ruihan,Yuehua Entertainment trainee / Eliminated in Episode 4,#e9d95d,83,79,68,-,-,-,-,-
Liu Yushan,PopuLady member / Eliminated in Episode 4,#77c89a,84,86,85,-,-,-,-,-
Wang Yalin,Oxygen Girls member / Eliminated in Episode 4,#77c89a,85,73,77,-,-,-,-,-
Yin Rouyi,Huanri Shiji Culture trainee / Eliminated in Episode 4,#888888,86,90,91,-,-,-,-,-
Liu Jiaying,Rhonin Studio trainee / Eliminated in Episode 4,#673278,87,92,94,-,-,-,-,-
Wu Xiaoxuan,HelloGirls member / Eliminated in Episode 4,#77c89a,88,51,61,-,-,-,-,-
Yang Han,Checkmate Entertainment trainee / Eliminated in Episode 4,#e9d95d,89,93,93,-,-,-,-,-
Zhu Tiantian,Super Jet Entertainment trainee,#888888,90,88,35,45,40,38,-,-
Han Dan,Ladybees member / Eliminated in Episode 4,#77c89a,91,89,89,-,-,-,-,-
Shao Xia,Dream Entertainment trainee / Eliminated in Episode 4,#673278,92,80,73,-,-,-,-,-
Zhao Ling,Eliminated in Episode 2 / CH2 member,#000000,93,-,-,-,-,-,-,-
Wu Yun Ting,PopuLady member / Eliminated in Episode 4,#77c89a,94,95,95,-,-,-,-,-
Zhang Jingxuan,Oxygen Girls member / Eliminated in Episode 4,#888888,95,53,62,-,-,-,-,-
Wang Manjun,Banana Entertainment / Eliminated in Episode 4,#77c89a,96,96,96,-,-,-,-,-
Yan Kexin,Oxygen Girls member / Eliminated in Episode 4,#77c89a,97,97,98,-,-,-,-,-
Zheng Cheng Cheng,Left in Episode 2 / K-L Entertainment trainee,#000000,98,-,-,-,-,-,-,-
Zhang Yuwen,Rhonin Studio trainee / Eliminated in Episode 4,#77c89a,99,98,97,-,-,-,-,-
Wang Juemeng,Lajin Media trainee / Eliminated in Episode 4,#77c89a,100,99,99,-,-,-,-,-
Qiu Luqing,Huanri Shiji Culture trainee / Eliminated in Episode 4,#888888,101,100,100,-,-,-,-,-
Re Yina,ESEE Model Management Shanghai model / Intruder (spot-stealer),#888888,102,21,21,26,35,40,-,-
