Name,Notes,Color,Letter,Episode 1,Episode 2,Episode 3,Episode 4,Episode 5,Episode 6,Episode 7,Episode 8,Episode 9,Episode 10,Episode 11,Episode 12
Lee Gaeun,,#E56F85,C,5,1,1,,,,,,,,,
An Yoojin,,#FDABF0,C,2,2,2,,,,,,,,,
Sakura Miyawaki,,#A37479,C,1,5,3,,,,,,,,,
Jang Wonyoung,,#8FD8DD,A,3,4,4,,,,,,,,,
Kwon Eunbi,,#D4FAA3,D,25,3,5,,,,,,,,,
Moe Goto,,#E4462E,B,16,8,6,,,,,,,,,
Choi Yena,,#B9BCF1,A,7,6,7,,,,,,,,,
Miyu Takeuchi,,#42F89D,D,39,11,8,,,,,,,,,
Wang Yiren,,#6D8D85,C,11,7,9,,,,,,,,,
Lee Chaeyeon,,#14C1E9,A,29,10,10,,,,,,,,,
Noe Yamada,,#E01D1C,B,45,9,11,,,,,,,,,
Jurina Matsui,,#1D4A9A,F,4,12,12,,,,,,,,,
Miru Shiroma,,#0CD764,A,9,22,13,,,,,,,,,
Jang Gyuri,,#09C4EE,F,6,14,14,,,,,,,,,
Miho Miyazaki,,#E8104F,D,17,16,15,,,,,,,,,
Nako Yabuki,,#301FFE,C,14,27,16,,,,,,,,,
Kim Sihyeon,,#203524,D,15,13,17,,,,,,,,,
Jo Yuri,,#E4AF1A,F,10,19,18,,,,,,,,,
Kim Minju,,#772D4D,C,13,17,19,,,,,,,,,
Juri Takahashi,,#FDA38A,F,20,29,20,,,,,,,,,
Huh Yunjin,,#9AD22B,A,19,15,21,,,,,,,,,
Hitomi Honda,,#8040ED,B,30,47,22,,,,,,,,,
Erii Chiba,,#FEB6A0,-,27,38,23,,,,,,,,,
Saho Iwatate,,#F29AED,F,46,24,24,,,,,,,,,
Mako Kojima,,#3AFAFD,B,12,23,25,,,,,,,,,
Ko Yoojin,,#88CCBF,C,24,34,26,,,,,,,,,
Lee Sian,,#223BC8,D,8,18,27,,,,,,,,,
Na Goeun,,#F26C4D,F,36,20,28,,,,,,,,,
Vivian Murakawa,,#EFCDD2,B,28,31,29,,,,,,,,,
Kim Chaewon,,#C46BC6,F,21,21,30,,,,,,,,,
Kim Doah,,#96B85A,B,31,25,31,,,,,,,,,
Tomu Muto,,#536991,B,23,28,32,,,,,,,,,
Lee Haeun,,#614ED6,B,51,58,33,,,,,,,,,
Bae Eunyeong,,#A7DE00,F,18,30,34,,,,,,,,,
Park Seoyoung,,#EF7219,C,34,26,35,,,,,,,,,
Aoi Motomura,,#BDCFFD,A,37,42,36,,,,,,,,,
Kim Choyeon,,#F2A9DA,C,68,75,37,,,,,,,,,
Cho Khahyeon,,#848D86,B,65,36,38,,,,,,,,,
Miu Shitao,,#63C589,A,41,45,39,,,,,,,,,
Chiyori Nakanishi,,#3AC2F4,A,22,37,40,,,,,,,,,
