Names,Notes,Color,Week 4,Week 5,Week 7,Week 8,Week 10,Week 11,Week 13,Week 14
Junyoung,U-KISS<br>Made Final Line-up,#2abe6d,6,3,2,1,1,2,1,1
Lee Euijin,BIGFLO<br>Made Final Line-up,#3683f3,17,16,9,4,2,1,2,2
Hojung,HOTSHOT<br>Made Final Line-up,#e5473c,4,5,5,6,6,5,3,3
Feeldog,BIGSTAR<br>Made Final Line-up,#e5473c,3,4,4,3,4,4,4,4
Marco,H.B.Y<br>Made Final Line-up,#f38433,12,13,14,14,19,15,16,5
Hansol,SM Rookies (former)<br>Made Final Line-up,#e5473c,5,6,7,12,10,12,6,6
Daewon,Madtown<br>Made Final Line-up,#e491d4,13,9,8,8,8,10,9,7
Kijoong,IM<br>Made Final Line-up,#e5473c,7,7,6,7,7,7,10,8
Chan,A.C.E<br>Made Final Line-up,#545794,26,27,26,19,17,14,15,9
Timoteo,HOTSHOT<br>Eliminated in Finale,#e5473c,1,1,1,5,5,3,5,10
Jeup,IMFACT<br>Eliminated in Finale,#c8bf09,40,22,10,13,9,8,11,11
Donghyun,Boyfriend<br>Eliminated in Finale,#e5473c,2,2,3,2,3,6,7,12
Hangyul,IM<br>Eliminated in Finale,#c8bf09,35,30,28,21,18,19,13,13
Rockhyun,1<br>Eliminated in Finale,#e5473c,11,8,11,10,11,11,12,14
Suwoong,Boys Republic<br>Eliminated in Finale,#c8bf09,21,24,18,18,16,16,18,15
Dongmyeong,MAS<br>Eliminated in Finale,#e491d4,8,10,16,16,13,13,14,16
Seyong,MYNAME<br>Eliminated in Finale,#3683f3,10,12,13,11,14,9,8,17
Lee Geon,Madtown<br>Eliminated in Finale,#e5473c,22,23,22,20,15,18,17,18
Lee Jungha,Namoo Actors<br>Eliminated in Week 13,#f38433,15,15,15,17,21,22,19,
Kanto,Troy/Soloist<br>Eliminated in Week 13,#e5473c,9,11,12,9,12,17,20,
Junhee,A.C.E<br>Eliminated in Week 13,#545794,30,28,25,25,23,20,21,
Raehwan,BIGSTAR<br>Eliminated in Week 13,#c8bf09,14,14,20,22,25,28,22,
Giseok,IM<br>Eliminated in Week 13,#3683f3,19,20,23,26,29,21,23,
JunQ,MYNAME<br>Eliminated in Week 13,#f38433,16,18,17,15,20,25,24,
B-Joo,Topp Dogg<br>Eliminated in Week 13,#2abe6d,36,32,30,31,30,26,25,
Ungjae,IMFACT<br>Eliminated in Week 13,#f38433,23,17,19,23,22,23,26,
Taeho,IMFACT<br>Eliminated in Week 13,#f38433,47,45,42,36,26,24,27,
