Names,Notes,Color,Week 4,Week 5,Week 6,Week 7
Timoteo,HOTSHOT,#e5473c,1,1,,
Donghyun,Boyfriend,#e5473c,2,2,,
Feeldog,BIGSTAR,#e5473c,3,4,,
Hojung,HOTSHOT,#e5473c,4,5,,
Hansol,SM Rookies (former),#e5473c,5,6,,
Junyoung,U-KISS,#2abe6d,6,3,,
Kijoong,IM,#e5473c,7,7,,
Dongmyeong,MAS,#e491d4,8,10,,
Kanto,Troy/Soloist,#e5473c,9,11,,
Seyong,MYNAME,#3683f3,10,12,,
Rockhyun,100%,#e5473c,11,8,,
Marco,H.B.Y,#f38433,12,13,,
Daewon,Madtown,#e491d4,13,9,,
Lee Jungha,Namoo Actors,#f38433,15,15,,
Raehwan,BIGSTAR,#c8bf09,16,14,,
JunQ,MYNAME,#f38433,16,18,,
Lee Euijin,BIGFLO,#3683f3,17,16,,
Gunwoo,MYNAME,#3683f3,18,21,,
Giseok,IM,#3683f3,19,20,,
Hyukjin,100%,#f38433,20,19,,
Suwoong,Boys Republic,#c8bf09,21,24,,
Lee Geon,Madtown,#e5473c,22,23,,
Ungjae,IMFACT,#f38433,23,17,,
Chaejin,MYNAME,#f38433,24,25,,
Gunmin,B.I.G,#c8bf09,25,26,,
Chan,A.C.E,#545794,26,27,,
Hojoon,Topp Dogg,#2abe6d,27,29,,
Jungsang,A.Cian,#545794,28,31,,
Kyeongha,TopSecret,#3683f3,29,39,,
Junhee,A.C.E,#545794,30,28,,
Junhyeok,Day6 (former),#545794,31,33,,
Jang Sebin,Snuper,#3683f3,32,36,,
Heedo,B.I.G,#2abe6d,33,35,,
Sunghak,BIGSTAR,#c8bf09,34,42,,
Hangyul,IM,#c8bf09,35,30,,
B-Joo,Topp Dogg,#2abe6d,36,32,,
Sangil,Snuper,#545794,37,40,,
Seungjin,A-JAX,#2abe6d,38,38,,
Rayoon,MVP,#545794,39,37,,
Jeup,IMFACT,#c8bf09,40,22,,
Sungjun,Boys Republic,#c8bf09,41,34,,
Jeongha,BEATWIN,#e491d4,42,44,,
Sejun,SPEED (former),#c8bf09,43,47,,
Suhyun,Snuper,#e491d4,44,43,,
Joonghee,A-JAX,#2abe6d,45,50,,
Casper,Cross Gene (former),#f38433,46,41,,
Taeho,IMFACT,#f38433,47,45,,
One Junn,Boys Republic,#3683f3,48,48,,
Lex,BIGFLO,#2abe6d,49,53,,
Harin,MAS,#e491d4,50,52,,
Jude,BIGSTAR,#3683f3,51,55,,
P.K.,MVP,#545794,52,57,,
Jin,MVP,#545794,53,63,,
Seongho,BEATWIN (former),#c8bf09,54,56,,
Taeeun,IM,#545794,55,46,,
Kanghyun,MAS,#e491d4,56,61,,
Taro,H.B.Y,#2abe6d,57,54,,
Yonghoon,MAS,#e491d4,58,58,,
Jian,IMFACT,#e491d4,59,51,,
Cya,MAS,#e491d4,60,59,,
Jin-O,A.Cian,#2abe6d,61,49,,
Junghoon,TopSecret,#3683f3,62,62,,
Z-Uk,BIGFLO (former),#f38433,63,60,,
