Names,Notes,Color,Week 4,Week 5,Week 7
Timoteo,HOTSHOT,#e5473c,1,1,1
Donghyun,Boyfriend,#e5473c,2,2,3
Junyoung,U-KISS,#2abe6d,6,3,2
Feeldog,BIGSTAR,#e5473c,3,4,4
Hojung,HOTSHOT,#e5473c,4,5,5
Hansol,SM Rookies (former),#e5473c,5,6,6
Kijoong,IM,#e5473c,7,7,7
Rockhyun,100%,#e5473c,11,8,11
Daewon,Madtown,#e491d4,13,9,8
Dongmyeong,MAS,#e491d4,8,10,16
Kanto,Troy/Soloist,#e5473c,9,11,12
Seyong,MYNAME,#3683f3,10,12,13
Marco,H.B.Y,#f38433,12,13,14
Raehwan,BIGSTAR,#c8bf09,14,14,20
Lee Jungha,Namoo Actors,#f38433,15,15,15
Lee Euijin,BIGFLO,#3683f3,17,16,9
Ungjae,IMFACT,#f38433,23,17,19
JunQ,MYNAME,#f38433,16,18,17
Hyukjin,100%,#f38433,20,19,21
Giseok,IM,#3683f3,19,20,23
Gunwoo,MYNAME,#3683f3,18,21,29
Jeup,IMFACT,#c8bf09,40,22,10
Lee Geon,Madtown,#e5473c,22,23,22
Suwoong,Boys Republic,#c8bf09,21,24,18
Chaejin,MYNAME,#f38433,24,25,27
Gunmin,B.I.G,#c8bf09,25,26,24
Chan,A.C.E,#545794,26,27,26
Junhee,A.C.E,#545794,30,28,25
Hojoon,Topp Dogg,#2abe6d,27,29,31
Hangyul,IM,#c8bf09,35,30,28
Jungsang,A.Cian,#545794,28,31,32
B-Joo,Topp Dogg,#2abe6d,36,32,30
Junhyeok,Day6 (former),#545794,31,33,34
Sungjun,Boys Republic,#c8bf09,41,34,36
Heedo,B.I.G,#2abe6d,33,35,35
Jang Sebin,Snuper,#3683f3,32,36,46
Rayoon,MVP,#545794,39,37,33
Seungjin,A-JAX,#2abe6d,38,38,38
Kyeongha,TopSecret,#3683f3,29,39,47
Sangil,Snuper,#545794,37,40,39
Casper,Cross Gene (former),#f38433,46,41,37
Sunghak,BIGSTAR,#c8bf09,34,42,44
Suhyun,Snuper,#e491d4,44,43,43
Jeongha,BEATWIN,#e491d4,42,44,41
Taeho,IMFACT,#f38433,47,45,42
Taeeun,IM,#545794,55,46,40
Sejun,SPEED (former),#c8bf09,43,47,51
One Junn,Boys Republic,#3683f3,48,48,57
Jin-O,A.Cian,#2abe6d,61,49,48
Joonghee,A-JAX,#2abe6d,45,50,50
Jian,IMFACT,#e491d4,59,51,49
Harin,MAS,#e491d4,50,52,54
Lex,BIGFLO,#2abe6d,49,53,45
Taro,H.B.Y,#2abe6d,57,54,52
Jude,BIGSTAR,#3683f3,51,55,53
Seongho,BEATWIN (former),#c8bf09,54,56,58
P.K.,MVP,#545794,52,57,55
Yonghoon,MAS,#e491d4,58,58,59
Cya,MAS,#e491d4,60,59,60
Z-Uk,BIGFLO (former),#f38433,63,60,56
Kanghyun,MAS,#e491d4,56,61,61
Junghoon,TopSecret,#3683f3,62,62,63
Jin,MVP,#545794,53,63,62
