Names,Notes,Color,Week 4,Week 5,Week 7
Timoteo,HOTSHOT,#e5473c,1,1,1,,
Junyoung,U-KISS,#2abe6d,6,3,2,,
Donghyun,Boyfriend,#e5473c,2,2,3,,
Feeldog,BIGSTAR,#e5473c,3,4,4,,
Hojung,HOTSHOT,#e5473c,4,5,5,,
Hansol,SM Rookies (former),#e5473c,5,6,6,,
Kijoong,IM,#e5473c,7,7,7,,
Daewon,Madtown,#e491d4,13,9,8,,
Lee Euijin,BIGFLO,#3683f3,17,16,9,,
Jeup,IMFACT,#c8bf09,40,22,10,,
Rockhyun,100%,#e5473c,11,8,11,,
Kanto,Troy/Soloist,#e5473c,9,11,12,,
Seyong,MYNAME,#3683f3,10,12,13,,
Marco,H.B.Y,#f38433,12,13,14,,
Lee Jungha,Namoo Actors,#f38433,15,15,15,,
Dongmyeong,MAS,#e491d4,8,10,16,,
JunQ,MYNAME,#f38433,16,18,17,,
Suwoong,Boys Republic,#c8bf09,21,24,18,,
Ungjae,IMFACT,#f38433,23,17,19,,
Raehwan,BIGSTAR,#c8bf09,14,14,20,,
Hyukjin,100%,#f38433,20,19,21,,
Lee Geon,Madtown,#e5473c,22,23,22,,
Giseok,IM,#3683f3,19,20,23,,
Gunmin,B.I.G,#c8bf09,25,26,24,,
Junhee,A.C.E,#545794,30,28,25,,
Chan,A.C.E,#545794,26,27,26,,
Chaejin,MYNAME,#f38433,24,25,27,,
Hangyul,IM,#c8bf09,35,30,28,,
Gunwoo,MYNAME,#3683f3,18,21,29,,
B-Joo,Topp Dogg,#2abe6d,36,32,30,,
Hojoon,Topp Dogg,#2abe6d,27,29,31,,
Jungsang,A.Cian,#545794,28,31,32,,
Rayoon,MVP,#545794,39,37,33,,
Junhyeok,Day6 (former),#545794,31,33,34,,
Heedo,B.I.G,#2abe6d,33,35,35,,
Sungjun,Boys Republic,#c8bf09,41,34,36,,
Casper,Cross Gene (former),#f38433,46,41,37,,
Seungjin,A-JAX,#2abe6d,38,38,38,,
Sangil,Snuper,#545794,37,40,39,,
Taeeun,IM,#545794,55,46,40,,
Jeongha,BEATWIN,#e491d4,42,44,41,,
Taeho,IMFACT,#f38433,47,45,42,,
Suhyun,Snuper,#e491d4,44,43,43,,
Sunghak,BIGSTAR,#c8bf09,34,42,44,,
Lex,BIGFLO,#2abe6d,49,53,45,,
Jang Sebin,Snuper<br>Eliminated in Week 7,#3683f3,32,36,46,<br>Eliminated in Week 7,Snuper<br>Eliminated in Week 7<br>Eliminated in Week 7
Kyeongha,TopSecret<br>Eliminated in Week 7,#3683f3,29,39,47,<br>Eliminated in Week 7,TopSecret<br>Eliminated in Week 7<br>Eliminated in Week 7
Jin-O,A.Cian<br>Eliminated in Week 7,#2abe6d,61,49,48,<br>Eliminated in Week 7,A.Cian<br>Eliminated in Week 7<br>Eliminated in Week 7
Jian,IMFACT<br>Eliminated in Week 7,#e491d4,59,51,49,<br>Eliminated in Week 7,IMFACT<br>Eliminated in Week 7<br>Eliminated in Week 7
Joonghee,A-JAX<br>Eliminated in Week 7,#2abe6d,45,50,50,<br>Eliminated in Week 7,A-JAX<br>Eliminated in Week 7<br>Eliminated in Week 7
Sejun,SPEED (former)<br>Eliminated in Week 7,#c8bf09,43,47,51,<br>Eliminated in Week 7,SPEED (former)<br>Eliminated in Week 7<br>Eliminated in Week 7
Taro,H.B.Y<br>Eliminated in Week 7,#2abe6d,57,54,52,<br>Eliminated in Week 7,H.B.Y<br>Eliminated in Week 7<br>Eliminated in Week 7
Jude,BIGSTAR<br>Eliminated in Week 7,#3683f3,51,55,53,<br>Eliminated in Week 7,BIGSTAR<br>Eliminated in Week 7<br>Eliminated in Week 7
Harin,MAS<br>Eliminated in Week 7,#e491d4,50,52,54,<br>Eliminated in Week 7,MAS<br>Eliminated in Week 7<br>Eliminated in Week 7
P.K.,MVP<br>Eliminated in Week 7,#545794,52,57,55,<br>Eliminated in Week 7,MVP<br>Eliminated in Week 7<br>Eliminated in Week 7
One Junn,Boys Republic<br>Eliminated in Week 7,#3683f3,48,48,57,<br>Eliminated in Week 7,Boys Republic<br>Eliminated in Week 7<br>Eliminated in Week 7
Seongho,BEATWIN (former)<br>Eliminated in Week 7,#c8bf09,54,56,58,<br>Eliminated in Week 7,BEATWIN (former)<br>Eliminated in Week 7<br>Eliminated in Week 7
Yonghoon,MAS<br>Eliminated in Week 7,#e491d4,58,58,59,<br>Eliminated in Week 7,MAS<br>Eliminated in Week 7<br>Eliminated in Week 7
Cya,MAS<br>Eliminated in Week 7,#e491d4,60,59,60,<br>Eliminated in Week 7,MAS<br>Eliminated in Week 7<br>Eliminated in Week 7
Z-Uk,BIGFLO (former)<br>Eliminated in Week 7,#f38433,63,60,56,<br>Eliminated in Week 7,BIGFLO (former)<br>Eliminated in Week 7<br>Eliminated in Week 7
Kanghyun,MAS<br>Eliminated in Week 7,#e491d4,56,61,61,<br>Eliminated in Week 7,MAS<br>Eliminated in Week 7<br>Eliminated in Week 7
Junghoon,TopSecret<br>Eliminated in Week 7,#3683f3,62,62,63,<br>Eliminated in Week 7,TopSecret<br>Eliminated in Week 7<br>Eliminated in Week 7
Jin,MVP<br>Eliminated in Week 7,#545794,53,63,62,<br>Eliminated in Week 7,MVP<br>Eliminated in Week 7<br>Eliminated in Week 7
