Names,Notes,Color,Week 4,Week 5,Week 7,Week 8,Week 10,Week 11,Week 13,Week 14
Euijin,Sonamoo<br>Made Final Line-up,#e5473c,5,2,2,1,1,1,1,1
Yebin,DIA<br>Made Final Line-up,#e5473c,2,3,3,2,2,2,3,2
NC.A,Soloist<br>Made Final Line-up,#2abe6d,4,5,4,3,3,3,4,3
Yoonjo,Hello Venus (former)<br>Made Final Line-up,#2abe6d,23,19,14,7,7,13,12,4
Hyunjoo,APRIL (former)<br>Made Final Line-up,#f38433,9,6,7,5,8,9,10,5
Yang Jiwon,SPICA (former)<br>Made Final Line-up,#545794,1,1,1,4,5,4,8,6
Woohee,Dal Shabet<br>Made Final Line-up,#545794,6,7,6,10,11,10,9,7
ZN,LABOUM<br>Made Final Line-up,#545794,17,16,13,14,14,12,11,8
Suji,The Ark (former)<br>Made Final Line-up,#e491d4,11,9,9,9,10,7,5,9
Euna,The Ark (former)<br>Eliminated in Finale,#e491d4,3,4,5,6,4,6,7,10
Kim Jiwon,GOOD DAY<br>Eliminated in Finale,#e491d4,15,13,10,8,6,8,6,11
Somyi,DIA<br>Eliminated in Finale,#e5473c,10,10,11,11,12,11,14,12
Semmi,Matilda<br>Eliminated in Finale,#2abe6d,49,53,42,29,9,5,2,13
Dan-A,Matilda<br>Eliminated in Finale,#545794,28,26,23,37,30,14,13,14
Shin Jihoon,Soloist<br>Eliminated in Finale,#3683f3,14,17,16,15,21,22,16,15
Chahee,Melody Day<br>Eliminated in Finale,#e5473c,34,28,31,35,18,16,17,16
Lee Borim,Actress<br>Eliminated in Finale,#e5473c,44,25,17,16,16,24,18,17
Yeoeun,Melody Day<br>Eliminated in Finale,#e5473c,18,18,15,12,13,15,15,18
Hyosun,H.U.B<br>Eliminated in Week 13,#f38433,7,8,8,13,20,20,19,
Kim Yujeong,LABOUM<br>Eliminated in Week 13,#545794,12,12,12,17,15,17,20,
Nari,WA$$UP<br>Eliminated in Week 13,#545794,21,15,22,27,27,25,21,
Anne,S.I.S<br>Eliminated in Week 13,#e491d4,36,36,28,22,26,19,22,
Serri,Dal Shabet<br>Eliminated in Week 13,#545794,13,29,32,30,28,29,23,
Lucky,GOOD DAY<br>Eliminated in Week 13,#3683f3,22,20,19,19,17,18,24,
Joohyun,Cube Trainee<br>Eliminated in Week 13,#f38433,38,34,29,23,25,21,25,
Haein,LABOUM<br>Eliminated in Week 13,#e491d4,24,21,18,18,19,23,26,
Hyeyeon,BESTie<br>Eliminated in Week 13,#2abe6d,30,27,25,21,24,26,27,
Heejin,GOOD DAY<br>Eliminated in Week 13,#c8bf09,37,42,39,36,31,28,28,
Viva,GOOD DAY<br>Eliminated in Week 13,#2abe6d,52,47,40,24,29,30,29,
