Names,Notes,Color,Week 4,Week 5,Week 6,Week 7
Yang Jiwon,SPICA (former),#545794,1,1,,
Yebin,DIA,#e5473c,2,3,,
Euna,The Ark (former),#e491d4,3,4,,
NC.A,Soloist,#2abe6d,4,5,,
Euijin,Sonamoo,#e5473c,5,2,,
Woohee,Dal Shabet,#545794,6,7,,
Hyosun,H.U.B,#f38433,7,8,,
Joo,Soloist,#3683f3,8,11,,
Hyunjoo,APRIL (former),#f38433,9,6,,
Somyi,DIA,#e5473c,10,10,,
Suji,The Ark (former),#e491d4,11,9,,
Kim Yujeong,LABOUM,#545794,12,12,,
Serri,Dal Shabet,#545794,13,29,,
Shin Jihoon,Soloist,#3683f3,14,17,,
Kim Jiwon,GOOD DAY,#e491d4,15,13,,
Seol Hayoon,Soloist,#f38433,16,14,,
ZN,LABOUM,#545794,17,16,,
Yeoeun,Melody Day,#e5473c,18,18,,
I,Soloist,#2abe6d,19,OUT,,
Minhee,Miss $,#c8bf09,20,31,,
Nari,WA$$UP,#545794,21,15,,
Lucky,GOOD DAY,#3683f3,22,20,,
Yoonjo,Hello Venus (former),#2abe6d,23,19,,
Haein,LABOUM,#e491d4,24,21,,
Gaeul,S.I.S,#e491d4,25,22,,
Mint,Tiny-G (former),#f38433,26,24,,
Areum,T-ara (former),#f38433,27,33,,
Dan-A,Matilda,#545794,28,26,,
Soya,Soya 'n Sun (former),#3683f3,29,35,,
Hyeyeon,BESTie,#2abe6d,30,27,,
Haseo,HA&DA (former),#3683f3,31,30,,
Yoomin,Melody Day,#e5473c,32,23,,
Nam Yujeong,Brave Girls,#e491d4,33,32,,
Chahee,Melody Day,#e5473c,34,28,,
Janey,GP Basic (former),#e491d4,35,40,,
Anne,S.I.S,#e491d4,36,36,,
Heejin,GOOD DAY,#c8bf09,37,42,,
Joohyun,Cube Trainee,#f38433,38,34,,
Kim,Rubber Soul,#f38433,39,41,,
Dabin,Baby Boo,#f38433,40,43,,
Eunji,Brave Girls,#e5473c,41,37,,
Park Jiwon,Park Sisters,#545794,42,44,,
Yena,G-reyish,#c8bf09,43,38,,
Lee Borim,Actress,#e5473c,44,25,,
Han Seoin,The SeeYa (former),#e5473c,45,46,,
Haena,Matilda,#545794,46,48,,
Lee Sebin,S.I.S,#c8bf09,47,50,,
Lena,ACEMAX-RED,#3683f3,48,39,,
Semmi,Matilda,#2abe6d,49,53,,
Chaesol,GOOD DAY,#e491d4,50,54,,
Yuji,Apple.B,#3683f3,51,55,,
Viva,GOOD DAY,#2abe6d,52,47,,
Yeseul,WINGS,#3683f3,53,52,,
Bomi,ACEMAX-RED,#f38433,54,51,,
Sandy,Apple.B,#3683f3,55,56,,
Hanbi,LipBubble,#c8bf09,56,57,,
Saebyul,Matilda,#2abe6d,57,45,,
Eunbyeol,LipBubble,#c8bf09,58,58,,
Genie,GOOD DAY,#2abe6d,59,49,,
Tae-E,S.E.T,#c8bf09,60,59,,
Lee Yujeong,S2,#c8bf09,61,60,,
Eun-E,S.E.T,#c8bf09,62,62,,
Chaewon,S2,#2abe6d,63,61,,
