Names,Notes,Color,Week 4,Week 5,Week 7
Yang Jiwon,SPICA (former),#545794,1,1,1,,,
Yebin,DIA,#e5473c,2,3,3,,,
Euna,The Ark (former),#e491d4,3,4,5,,,
NC.A,Soloist,#2abe6d,4,5,4,,,
Euijin,Sonamoo,#e5473c,5,2,2,,,
Woohee,Dal Shabet,#545794,6,7,6,,,
Hyosun,H.U.B,#f38433,7,8,8,,,
Joo,Soloist,#3683f3,8,11,20,,,
Hyunjoo,APRIL (former),#f38433,9,6,7,,,
Somyi,DIA,#e5473c,10,10,11,,,
Suji,The Ark (former),#e491d4,11,9,9,,,
Kim Yujeong,LABOUM,#545794,12,12,12,,,
Serri,Dal Shabet,#545794,13,29,32,,,
Shin Jihoon,Soloist,#3683f3,14,17,16,,,
Kim Jiwon,GOOD DAY,#e491d4,15,13,10,,,
Seol Hayoon,Soloist,#f38433,16,14,21,,,
ZN,LABOUM,#545794,17,16,13,,,
Yeoeun,Melody Day,#e5473c,18,18,15,,,
I,Soloist<br>Left show due to heatth reasons,#2abe6d,19,,,,,
Minhee,Miss $,#c8bf09,20,31,34,,,
Nari,WA$$UP,#545794,21,15,22,,,
Lucky,GOOD DAY,#3683f3,22,20,19,,,
Yoonjo,Hello Venus (former),#2abe6d,23,19,14,,,
Haein,LABOUM,#e491d4,24,21,18,,,
Gaeul,S.I.S,#e491d4,25,22,35,,,
Mint,Tiny-G (former),#f38433,26,24,27,,,
Areum,T-ara (former),#f38433,27,33,37,,,
Dan-A,Matilda,#545794,28,26,23,,,
Soya,Soya 'n Sun (former)<br>Eliminated in Week 7,#3683f3,29,35,43,<br>Eliminated in Week 7,,Soya 'n Sun (former)<br>Eliminated in Week 7<br>Eliminated in Week 7
Hyeyeon,BESTie,#2abe6d,30,27,25,,,
Haseo,HA&DA (former),#3683f3,31,30,30,,,
Yoomin,Melody Day,#e5473c,32,23,24,,,
Nam Yujeong,Brave Girls,#e491d4,33,32,26,,,
Chahee,Melody Day,#e5473c,34,28,31,,,
Janey,GP Basic (former),#e491d4,35,40,36,,,
Anne,S.I.S,#e491d4,36,36,28,,,
Heejin,GOOD DAY,#c8bf09,37,42,39,,,
Joohyun,Cube Trainee,#f38433,38,34,29,,,
Kim,Rubber Soul,#f38433,39,41,38,,,
Dabin,Baby Boo<br>Eliminated in Week 7,#f38433,40,43,48,<br>Eliminated in Week 7,,Baby Boo<br>Eliminated in Week 7<br>Eliminated in Week 7
Eunji,Brave Girls<br>Eliminated in Week 7,#e5473c,41,37,45,<br>Eliminated in Week 7,,Brave Girls<br>Eliminated in Week 7<br>Eliminated in Week 7
Park Jiwon,Park Sisters,#545794,42,44,41,,,
Yena,G-reyish,#c8bf09,43,38,33,,,
