Names,Notes,Color,Week 4,Week 5,Week 7,Week 8
Euijin,Sonamoo,#e5473c,5,2,2,1,,
Yebin,DIA,#e5473c,2,3,3,2,,
NC.A,Soloist,#2abe6d,4,5,4,3,,
Yang Jiwon,SPICA (former),#545794,1,1,1,4,,
Hyunjoo,APRIL (former),#f38433,9,6,7,5,,
Euna,The Ark (former),#e491d4,3,4,5,6,,
Yoonjo,Hello Venus (former),#2abe6d,23,19,14,7,,
Kim Jiwon,GOOD DAY,#e491d4,15,13,10,8,,
Suji,The Ark (former),#e491d4,11,9,9,9,,
Woohee,Dal Shabet,#545794,6,7,6,10,,
Somyi,DIA,#e5473c,10,10,11,11,,
Yeoeun,Melody Day,#e5473c,18,18,15,12,,
Hyosun,H.U.B,#f38433,7,8,8,13,,
ZN,LABOUM,#545794,17,16,13,14,,
Shin Jihoon,Soloist,#3683f3,14,17,16,15,,
Lee Borim,Actress,#e5473c,44,25,17,16,,
Kim Yujeong,LABOUM,#545794,12,12,12,17,,
Haein,LABOUM,#e491d4,24,21,18,18,,
Lucky,GOOD DAY,#3683f3,22,20,19,19,,
Joo,Soloist,#3683f3,8,11,20,20,,
Hyeyeon,BESTie,#2abe6d,30,27,25,21,,
Anne,S.I.S,#e491d4,36,36,28,22,,
Joohyun,Cube Trainee,#f38433,38,34,29,23,,
Viva,GOOD DAY,#2abe6d,52,47,40,24,,
Seol Hayoon,Soloist,#f38433,16,14,21,25,,
Haseo,HA&DA (former),#3683f3,31,30,30,26,,
Nari,WA$$UP,#545794,21,15,22,27,,
Mint,Tiny-G (former),#f38433,26,24,27,28,,
Semmi,Matilda,#2abe6d,49,53,42,29,,
Serri,Dal Shabet,#545794,13,29,32,30,,
Yoomin,Melody Day,#e5473c,32,23,24,31,,
Nam Yujeong,Brave Girls,#e491d4,33,32,26,32,,
Minhee,Miss $,#c8bf09,20,31,34,33,,
Kim,Rubber Soul,#f38433,39,41,38,34,,
Chahee,Melody Day,#e5473c,34,28,31,35,,
Heejin,GOOD DAY,#c8bf09,37,42,39,36,,
Dan-A,Matilda,#545794,28,26,23,37,,
Janey,GP Basic (former),#e491d4,35,40,36,38,,
Yena,G-reyish,#c8bf09,43,38,33,39,,
Gaeul,S.I.S,#e491d4,25,22,35,40,,
Haena,Matilda<br>1st Place Team Immunity in Week7,#545794,46,48,52,41,,Matilda<br>1st Place Team Immunity in Week741
Areum,T-ara (former),#f38433,27,33,37,42,,
Park Jiwon,Park Sisters,#545794,42,44,41,43,,
Yeseul,WINGS<br>1st Place Team Immunity in Week7,#3683f3,53,52,51,44,,WINGS<br>1st Place Team Immunity in Week744
Eun-E,S.E.T<br>1st Place Team Immunity in Week7,#c8bf09,62,62,61,45,,S.E.T<br>1st Place Team Immunity in Week745
Soya,Soya 'n Sun (former)<br>Eliminated in Week 7,#3683f3,29,35,43,,,Soya 'n Sun (former)<br>Eliminated in Week 7
Lena,ACEMAX-RED<br>Eliminated in Week 7,#3683f3,48,39,44,,,ACEMAX-RED<br>Eliminated in Week 7
Eunji,Brave Girls<br>Eliminated in Week 7,#e5473c,41,37,45,,,Brave Girls<br>Eliminated in Week 7
Genie,GOOD DAY<br>Eliminated in Week 7,#2abe6d,59,49,46,,,GOOD DAY<br>Eliminated in Week 7
Han Seoin,The SeeYa (former)<br>Eliminated in Week 7,#e5473c,45,46,47,,,The SeeYa (former)<br>Eliminated in Week 7
Dabin,Baby Boo<br>Eliminated in Week 7,#f38433,40,43,48,,,Baby Boo<br>Eliminated in Week 7
Saebyul,Matilda<br>Eliminated in Week 7,#2abe6d,57,45,49,,,Matilda<br>Eliminated in Week 7
Bomi,ACEMAX-RED<br>Eliminated in Week 7,#f38433,54,51,50,,,ACEMAX-RED<br>Eliminated in Week 7
Hanbi,LipBubble<br>Eliminated in Week 7,#c8bf09,56,57,53,,,LipBubble<br>Eliminated in Week 7
Lee Yujeong,S2<br>Eliminated in Week 7,#c8bf09,61,60,54,,,S2<br>Eliminated in Week 7
Lee Sebin,S.I.S<br>Eliminated in Week 7,#c8bf09,47,50,55,,,S.I.S<br>Eliminated in Week 7
Sandy,Apple.B<br>Eliminated in Week 7,#3683f3,55,56,56,,,Apple.B<br>Eliminated in Week 7
Chaesol,GOOD DAY<br>Eliminated in Week 7,#e491d4,50,54,57,,,GOOD DAY<br>Eliminated in Week 7
Yuji,Apple.B<br>Eliminated in Week 7,#3683f3,51,55,58,,,Apple.B<br>Eliminated in Week 7
Eunbyeol,LipBubble<br>Eliminated in Week 7,#c8bf09,58,58,59,,,LipBubble<br>Eliminated in Week 7
Tae-E,S.E.T<br>Eliminated in Week 7,#c8bf09,60,59,60,,,S.E.T<br>Eliminated in Week 7
Chaewon,S2<br>Eliminated in Week 7,#2abe6d,63,61,62,,,S2<br>Eliminated in Week 7
I,Soloist<br>Left show due to health reasons,#2abe6d,19,,,,,
